lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
14,50,64,1,0.85,,0,0,0,0.08,0.346637186,0.55855863,0,0,0,0,0.075757576,0.5,0.454545455,0.424242424,0.985195817
14,80,64,2,0.85,,0,0,0,0.133333333,0.273117127,0.575255732,0,0,0,0,0.075757576,0.484848485,0.442424242,0.409090909,0.981706192
7,80,128,3,0.85,,0,0,0,0,0.456632398,0.522940061,0,0,0,0,0.104477612,0.52238806,0.468656716,0.417910448,0.979572459
7,5,128,3,0.85,,0,0,0,0.05,0.44508236,0.484396399,0,0,0,0,0.194029851,0.552238806,0.441791045,0.358208955,0.97947876
14,50,128,1,0.85,,0,0,0,0.08,0.33520423,0.563746775,0,0,0,0,0.121212121,0.515151515,0.451515152,0.393939394,0.978951005
3,80,128,2,0.85,,0,0,0,0.1,0.366491978,0.510974183,0,0,0,0,0.058823529,0.470588235,0.432352941,0.411764706,0.977466161
7,5,256,3,0.85,,0,0,0.066666667,0.028571429,0.381511402,0.398315185,0.1,0,0,0,0.104477612,0.462686567,0.394029851,0.358208955,0.975064682
14,5,128,2,0.85,,0,0,0,0.08,0.387192781,0.503910037,0,0,0,0,0.075757576,0.46969697,0.433333333,0.393939394,0.971102818
3,20,256,3,0.85,,0,0,0,0,0.434754731,0.532734396,0,0,0,0,0.102941176,0.514705882,0.461764706,0.411764706,0.967489128
14,5,256,1,0.85,,0,0,0,0.08,0.384291452,0.503176607,0,0,0,0,0.060606061,0.46969697,0.445454545,0.409090909,0.967468058
7,5,256,1,0.85,,0,0,0,0.08,0.400213359,0.485960525,0,0,0,0,0.119402985,0.47761194,0.426865672,0.358208955,0.966173885
3,20,64,3,0.85,,0,0,0,0.1,0.372565452,0.493425742,0,0,0,0,0.058823529,0.455882353,0.420588235,0.397058824,0.965991193
14,50,128,2,0.85,,0,0,0,0.133333333,0.269224679,0.558755488,0,0,0,0,0.106060606,0.46969697,0.43030303,0.363636364,0.9613135
14,80,32,2,0.85,,0,0,0,0.133333333,0.234277342,0.59325259,0,0,0,0,0.075757576,0.484848485,0.454545455,0.409090909,0.960863266
14,50,64,2,0.85,,0,0,0,0.133333333,0.238295515,0.587675134,0,0,0,0,0.060606061,0.484848485,0.448484848,0.424242424,0.959303982
3,80,32,2,0.85,,0,0,0,0.213333333,0.218258621,0.527522424,0,0,0,0,0.117647059,0.455882353,0.414705882,0.338235294,0.959114378
7,20,64,3,0.85,,0,0,0,0,0.423531556,0.532928158,0,0,0,0,0.164179104,0.537313433,0.450746269,0.373134328,0.956459714
14,20,64,1,0.85,,0,0,0,0.08,0.306382413,0.569479447,0,0,0,0,0.075757576,0.484848485,0.451515152,0.409090909,0.955861861
14,80,128,2,0.85,,0,0,0,0.1,0.287637684,0.567655838,0,0,0,0,0.121212121,0.5,0.439393939,0.378787879,0.955293522
3,80,128,1,0.85,,0,0,0,0.1,0.310424228,0.543566745,0,0,0,0,0.058823529,0.470588235,0.438235294,0.411764706,0.953990973
3,20,128,1,0.85,,0,0,0,0.1,0.339730094,0.514031361,0,0,0,0,0.088235294,0.485294118,0.423529412,0.397058824,0.953761456
