lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
3,5,256,3,0.85,,0,0,0,0.151111111,0.398544049,0.564980238,0.213333333,0.133333333,0,0,0.132352941,0.514705882,0.473529412,0.382352941,1.461302065
3,80,128,2,0.85,,0,0,0,0.101587302,0.524050442,0.582156694,0.213333333,0,0,0,0.176470588,0.573529412,0.514705882,0.397058824,1.421127771
3,5,64,2,0.85,,0,0,0,0.111111111,0.495944481,0.590122779,0.213333333,0,0,0,0.117647059,0.573529412,0.514705882,0.455882353,1.410511704
3,20,256,2,0.85,,0,0,0,0.044444444,0.546208361,0.584965253,0.213333333,0,0,0,0.132352941,0.588235294,0.526470588,0.455882353,1.388951392
3,20,128,3,0.85,,0,0,0,0.044444444,0.516432247,0.594597086,0.233333333,0,0,0,0.176470588,0.588235294,0.517647059,0.411764706,1.38880711
3,20,256,3,0.85,,0,0,0,0.04,0.529316948,0.596800485,0.213333333,0,0,0,0.132352941,0.588235294,0.520588235,0.455882353,1.379450766
3,20,64,1,0.85,,0,0,0,0.044444444,0.497034316,0.598624204,0.233333333,0,0,0,0.191176471,0.602941176,0.514705882,0.411764706,1.373436298
3,5,128,3,0.85,,0,0,0,0.161111111,0.485223148,0.540474657,0.18,0,0,0,0.073529412,0.529411765,0.488235294,0.455882353,1.366808916
3,20,128,2,0.85,,0,0,0,0.044444444,0.52839294,0.57999334,0.213333333,0,0,0,0.161764706,0.573529412,0.514705882,0.411764706,1.366164058
3,80,128,1,0.85,,0,0,0.133333333,0,0.414788556,0.575971476,0.233333333,0,0,0,0.235294118,0.588235294,0.473529412,0.352941176,1.357426698
3,5,64,3,0.85,,0,0,0,0.101587302,0.431000351,0.584053025,0.233333333,0,0,0,0.205882353,0.588235294,0.488235294,0.382352941,1.349974011
3,50,128,3,0.85,,0,0,0,0.111111111,0.540028538,0.525518167,0.166666667,0,0,0,0.161764706,0.588235294,0.5,0.426470588,1.343324483
3,20,64,2,0.85,,0,0,0,0.044444444,0.509419431,0.55607035,0.233333333,0,0,0,0.205882353,0.602941176,0.497058824,0.397058824,1.343267558
3,80,256,3,0.85,,0,0,0,0,0.495104747,0.607018849,0.233333333,0,0,0,0.147058824,0.573529412,0.517647059,0.426470588,1.33545693
3,5,128,2,0.85,,0,0,0,0.05,0.497013365,0.574403214,0.213333333,0,0,0,0.132352941,0.573529412,0.502941176,0.441176471,1.334749912
3,20,256,1,0.85,,0,0,0,0.044444444,0.464333712,0.59484538,0.213333333,0,0,0,0.191176471,0.573529412,0.502941176,0.382352941,1.316956869
3,5,256,2,0.85,,0,0,0,0.107142857,0.412373387,0.567681164,0.213333333,0,0,0,0.073529412,0.514705882,0.482352941,0.441176471,1.300530741
3,20,64,3,0.85,,0,0,0,0.111111111,0.512952498,0.596465603,0.08,0,0,0,0.205882353,0.588235294,0.517647059,0.382352941,1.300529213
3,5,128,1,0.85,,0,0,0,0.044444444,0.433663552,0.586832277,0.233333333,0,0,0,0.176470588,0.617647059,0.491176471,0.441176471,1.298273607
3,20,128,1,0.85,,0,0,0,0.044444444,0.448398197,0.564731244,0.233333333,0,0,0,0.205882353,0.573529412,0.479411765,0.367647059,1.290907219
3,80,256,2,0.85,,0,0,0,0,0.498208394,0.570649129,0.213333333,0,0,0,0.176470588,0.558823529,0.497058824,0.382352941,1.282190856
7,20,64,3,0.85,,0,0,0,0.15,0.520792843,0.604403769,0,0,0,0,0.089552239,0.567164179,0.52238806,0.47761194,1.275196612
3,5,64,1,0.85,,0,0,0,0.044444444,0.40517652,0.582164502,0.233333333,0,0,0,0.235294118,0.602941176,0.476470588,0.367647059,1.2651188
3,80,64,1,0.85,,0,0,0,0,0.437798181,0.57935574,0.233333333,0,0,0,0.220588235,0.602941176,0.485294118,0.382352941,1.250487254
3,80,256,1,0.85,,0,0,0,0,0.443766234,0.584292741,0.213333333,0,0,0,0.191176471,0.573529412,0.485294118,0.382352941,1.241392308
7,5,32,3,0.85,,0,0,0,0.1,0.540582611,0.596589099,0,0,0,0,0.104477612,0.582089552,0.525373134,0.47761194,1.23717171
3,50,64,2,0.85,,0,0,0,0.133333333,0.4497669,0.493548042,0.16,0,0,0,0.132352941,0.514705882,0.458823529,0.382352941,1.236648275
3,5,256,1,0.85,,0,0,0,0,0.437521253,0.584348765,0.213333333,0,0,0,0.220588235,0.588235294,0.482352941,0.367647059,1.235203351
3,50,128,2,0.85,,0,0,0,0.05,0.498398088,0.522666829,0.146666667,0,0,0,0.088235294,0.514705882,0.476470588,0.426470588,1.217731584
3,50,256,1,0.85,,0,0,0,0,0.501208446,0.532970256,0.166666667,0,0,0,0.176470588,0.573529412,0.482352941,0.397058824,1.200845368
