lag,batch_size,neurons,layers,split,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
7,5,256,1,0.85,0,0,0,0,0.483066358,0.442198341,0.057142857,0,0,0,0.117647059,0.485294118,0.432352941,0.367647059,0.982407555
14,20,32,1,0.85,0,0,0,0.066666667,0.387919923,0.521217081,0,0,0,0,0.23880597,0.537313433,0.432835821,0.298507463,0.975803671
14,80,32,1,0.85,0,0,0,0.066666667,0.386557823,0.519970107,0,0,0,0,0.223880597,0.52238806,0.429850746,0.298507463,0.973194597
7,20,128,3,0.85,0,0,0,0,0.466027613,0.50488881,0,0,0,0,0.058823529,0.470588235,0.447058824,0.411764706,0.970916423
1,5,256,2,0.85,0,0,0,0.05,0.282743097,0.580566711,0.057142857,0,0,0,0.043478261,0.47826087,0.457971014,0.434782609,0.970452666
7,5,32,2,0.85,0,0,0,0,0.416356862,0.552426768,0,0,0,0,0.147058824,0.558823529,0.458823529,0.411764706,0.96878363
3,20,128,3,0.85,0,0,0,0.057142857,0.362439675,0.546439968,0,0,0,0,0.102941176,0.5,0.435294118,0.397058824,0.966022501
1,20,256,1,0.85,0,0,0,0.044444444,0.342662371,0.578289884,0,0,0,0,0.144927536,0.550724638,0.463768116,0.405797101,0.965396699
7,20,128,1,0.85,0,0,0,0,0.429565159,0.534190476,0,0,0,0,0.088235294,0.5,0.452941176,0.411764706,0.963755636
3,5,256,1,0.85,0,0,0,0,0.406869193,0.556354524,0,0,0,0,0.117647059,0.514705882,0.461764706,0.397058824,0.963223716
7,5,256,2,0.85,0,0,0,0,0.466153846,0.439678879,0.057142857,0,0,0,0.176470588,0.514705882,0.426470588,0.338235294,0.962975582
14,5,32,1,0.85,0,0,0,0.066666667,0.369103301,0.526797355,0,0,0,0,0.223880597,0.537313433,0.43880597,0.313432836,0.962567323
7,20,256,1,0.85,0,0,0,0,0.447035486,0.514123137,0,0,0,0,0.147058824,0.529411765,0.447058824,0.382352941,0.961158623
14,80,128,3,0.85,0,0,0,0.057142857,0.438901992,0.464726141,0,0,0,0,0.119402985,0.492537313,0.414925373,0.373134328,0.96077099
3,50,256,3,0.85,0,0,0,0,0.391447154,0.500292114,0.066666667,0,0,0,0.102941176,0.470588235,0.414705882,0.367647059,0.958405935
14,5,128,1,0.85,0,0,0,0.066666667,0.386999642,0.504382545,0,0,0,0,0.164179104,0.492537313,0.426865672,0.328358209,0.958048853
3,50,256,2,0.85,0,0,0,0.05,0.417454751,0.489462834,0,0,0,0,0.117647059,0.470588235,0.417647059,0.352941176,0.956917584
1,20,128,2,0.85,0,0,0,0,0.372785521,0.583141486,0,0,0,0,0.115942029,0.536231884,0.469565217,0.420289855,0.955927008
7,50,128,1,0.85,0,0,0,0,0.382010112,0.493299565,0,0.08,0,0,0.102941176,0.485294118,0.417647059,0.382352941,0.955309677
7,80,128,1,0.85,0,0,0,0,0.401804188,0.553072999,0,0,0,0,0.073529412,0.5,0.455882353,0.426470588,0.954877187
1,20,128,1,0.85,0,0,0,0.044444444,0.323146998,0.587146875,0,0,0,0,0.101449275,0.52173913,0.463768116,0.420289855,0.954738318
1,5,128,2,0.85,0,0,0,0.044444444,0.337080562,0.570661422,0,0,0,0,0.072463768,0.492753623,0.457971014,0.420289855,0.952186428
7,50,32,1,0.85,0,0,0,0,0.399065954,0.472611289,0,0.08,0,0,0.088235294,0.470588235,0.414705882,0.382352941,0.951677243
14,80,128,1,0.85,0,0,0,0.066666667,0.349785954,0.533478557,0,0,0,0,0.179104478,0.492537313,0.429850746,0.313432836,0.949931178
7,20,256,2,0.85,0,0,0,0,0.438851858,0.509859691,0,0,0,0,0.102941176,0.485294118,0.441176471,0.382352941,0.948711549
7,80,32,3,0.85,0,0,0,0,0.371089942,0.577354627,0,0,0,0,0.088235294,0.514705882,0.464705882,0.426470588,0.948444569
1,5,128,3,0.85,0,0,0,0.044444444,0.317726533,0.582169619,0,0,0,0,0.101449275,0.507246377,0.460869565,0.405797101,0.944340596
14,20,128,2,0.85,0,0,0,0.066666667,0.336264961,0.540969089,0,0,0,0,0.223880597,0.537313433,0.432835821,0.313432836,0.943900717
14,5,256,1,0.85,0,0,0,0.066666667,0.377111256,0.496558116,0,0,0,0,0.194029851,0.507462687,0.426865672,0.313432836,0.940336039
14,50,128,1,0.85,0,0,0,0.066666667,0.342926465,0.529387815,0,0,0,0,0.194029851,0.507462687,0.429850746,0.313432836,0.938980946
7,5,32,1,0.85,0,0,0,0,0.424680592,0.513842305,0,0,0,0,0.161764706,0.558823529,0.441176471,0.397058824,0.938522898
14,5,128,2,0.85,0,0,0,0,0.354919815,0.516784776,0.066666667,0,0,0,0.119402985,0.492537313,0.426865672,0.373134328,0.938371258
14,50,256,2,0.85,0,0,0,0.066666667,0.319707684,0.550012309,0,0,0,0,0.23880597,0.537313433,0.432835821,0.298507463,0.936386661
14,80,256,3,0.85,0,0,0,0,0.40839187,0.527875282,0,0,0,0,0.179104478,0.52238806,0.441791045,0.343283582,0.936267153
1,5,256,1,0.85,0,0,0,0.044444444,0.319677997,0.572126826,0,0,0,0,0.115942029,0.507246377,0.455072464,0.391304348,0.936249267
7,5,128,3,0.85,0,0,0,0.066666667,0.467158136,0.401817452,0,0,0,0,0.117647059,0.470588235,0.414705882,0.352941176,0.935642255
1,20,256,3,0.85,0,0,0,0,0.371633408,0.561971156,0,0,0,0,0.173913043,0.550724638,0.457971014,0.376811594,0.933604564
3,80,128,3,0.85,0,0,0,0.057142857,0.342712602,0.532420791,0,0,0,0,0.088235294,0.470588235,0.426470588,0.382352941,0.93227625
7,20,32,1,0.85,0,0,0,0,0.399607297,0.531623377,0,0,0,0,0.147058824,0.529411765,0.441176471,0.382352941,0.931230674
14,50,128,2,0.85,0,0,0,0.066666667,0.330215723,0.533104575,0,0,0,0,0.223880597,0.52238806,0.420895522,0.298507463,0.929986964
1,80,128,2,0.85,0,0,0,0.036363636,0.340380952,0.55302228,0,0,0,0,0.115942029,0.492753623,0.44057971,0.376811594,0.929766869
1,80,256,3,0.85,0,0,0,0.044444444,0.354100048,0.529697816,0,0,0,0,0.15942029,0.52173913,0.428985507,0.362318841,0.928242309
1,20,128,3,0.85,0,0,0,0,0.353778058,0.570389217,0,0,0,0,0.115942029,0.52173913,0.460869565,0.405797101,0.924167275
