lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
7,50,256,3,0.85,,0,0,0,0.137142857,0.443272121,0.552665099,0.1,0,0,0,0.164179104,0.582089552,0.47761194,0.417910448,1.233080077
14,50,64,3,0.85,,0,0,0,0.19047619,0.375036204,0.564157244,0,0,0,0,0.121212121,0.515151515,0.463636364,0.393939394,1.129669639
14,80,256,3,0.85,,0,0,0,0.2,0.38164246,0.537262306,0,0,0,0,0.181818182,0.575757576,0.454545455,0.393939394,1.118904766
7,5,64,3,0.85,,0,0,0.133333333,0.066666667,0.399472305,0.517757663,0,0,0,0,0.194029851,0.52238806,0.447761194,0.328358209,1.117229969
14,80,128,2,0.85,,0,0,0,0.19047619,0.34015417,0.568316854,0,0,0,0,0.090909091,0.484848485,0.457575758,0.393939394,1.098947214
7,5,32,2,0.85,,0,0,0.133333333,0,0.410572473,0.543661374,0,0,0,0,0.194029851,0.552238806,0.462686567,0.358208955,1.08756718
14,50,256,1,0.85,,0,0,0,0.133333333,0.417299639,0.533811406,0,0,0,0,0.196969697,0.575757576,0.46969697,0.378787879,1.084444378
7,5,256,1,0.85,,0,0,0,0,0.463761945,0.518916886,0.1,0,0,0,0.074626866,0.507462687,0.474626866,0.432835821,1.082678831
14,20,256,1,0.85,,0,0,0,0.084444444,0.446138934,0.548463458,0,0,0,0,0.090909091,0.515151515,0.472727273,0.424242424,1.079046836
7,50,256,2,0.85,,0,0,0,0,0.437991893,0.524139894,0.1,0,0,0,0.179104478,0.552238806,0.453731343,0.373134328,1.062131787
14,50,256,3,0.85,,0,0,0,0.066666667,0.416747638,0.561361493,0,0,0,0,0.151515152,0.53030303,0.472727273,0.378787879,1.044775798
14,80,64,3,0.85,,0,0,0,0.133333333,0.336257714,0.568609073,0,0,0,0,0.090909091,0.515151515,0.463636364,0.424242424,1.038200121
7,80,256,3,0.85,,0,0,0,0,0.407653066,0.526931135,0.1,0,0,0,0.149253731,0.537313433,0.450746269,0.388059701,1.0345842
14,80,256,1,0.85,,0,0,0,0.133333333,0.353308444,0.54526091,0,0,0,0,0.136363636,0.5,0.442424242,0.363636364,1.031902687
14,50,256,2,0.85,,0,0,0,0.057142857,0.455710944,0.498618291,0,0,0,0,0.121212121,0.515151515,0.451515152,0.393939394,1.011472092
7,5,128,2,0.85,,0,0,0,0.1,0.382032503,0.516948876,0,0,0,0,0.104477612,0.492537313,0.435820896,0.388059701,0.998981379
14,80,256,2,0.85,,0,0,0,0.057142857,0.395236103,0.54350215,0,0,0,0,0.136363636,0.515151515,0.451515152,0.378787879,0.99588111
