lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
7,80,256,3,0.85,,0,0,0,0.08,0.340700127,0.548124746,0,0.2,0,0,0.059701493,0.47761194,0.450746269,0.417910448,1.168824873
3,5,256,1,0.85,,0,0,0,0,0.420455583,0.554170068,0.08,0,0,0,0.235294118,0.617647059,0.473529412,0.382352941,1.054625652
3,50,256,2,0.85,,0,0,0,0,0.417551284,0.499961698,0.114285714,0,0,0,0.220588235,0.588235294,0.452941176,0.367647059,1.031798696
3,50,256,1,0.85,,0,0,0,0,0.403237528,0.506698247,0.114285714,0,0,0,0.220588235,0.588235294,0.455882353,0.367647059,1.02422149
3,50,128,2,0.85,,0,0,0,0,0.406676977,0.495448436,0.114285714,0,0,0,0.220588235,0.588235294,0.455882353,0.367647059,1.016411127
3,50,256,3,0.85,,0,0,0,0,0.416326592,0.478266142,0.114285714,0,0,0,0.205882353,0.573529412,0.45,0.367647059,1.008878449
3,5,128,3,0.85,,0,0,0,0.057142857,0.293304582,0.547917066,0.1,0,0,0,0.205882353,0.573529412,0.444117647,0.367647059,0.998364506
7,50,128,1,0.85,,0,0,0,0.08,0.353859348,0.559279927,0,0,0,0,0.134328358,0.52238806,0.459701493,0.388059701,0.993139275
7,80,128,2,0.85,,0,0,0,0.066666667,0.36438364,0.560261025,0,0,0,0,0.089552239,0.507462687,0.456716418,0.417910448,0.991311332
1,20,256,1,0.85,,0,0,0.133333333,0,0.230521491,0.540474035,0.08,0,0,0,0.073529412,0.441176471,0.408823529,0.367647059,0.98432886
7,20,128,2,0.85,,0,0,0,0.133333333,0.251498431,0.595416832,0,0,0,0,0.119402985,0.537313433,0.480597015,0.417910448,0.980248596
7,80,256,2,0.85,,0,0,0,0.066666667,0.365019145,0.545497469,0,0,0,0,0.074626866,0.492537313,0.444776119,0.417910448,0.977183281
7,80,64,2,0.85,,0,0,0,0.1,0.292539111,0.579593765,0,0,0,0,0.074626866,0.492537313,0.456716418,0.417910448,0.972132875
7,5,256,1,0.85,,0,0,0,0.13,0.356666294,0.471890984,0,0,0,0,0.119402985,0.52238806,0.453731343,0.402985075,0.958557278
7,5,32,1,0.85,,0,0,0,0.066666667,0.322729279,0.566330497,0,0,0,0,0.089552239,0.507462687,0.468656716,0.417910448,0.955726443
3,5,128,2,0.85,,0,0,0,0,0.319542947,0.552962404,0.08,0,0,0,0.132352941,0.5,0.441176471,0.367647059,0.952505351
7,5,64,2,0.85,,0,0,0,0.08,0.339826701,0.531229794,0,0,0,0,0.074626866,0.492537313,0.450746269,0.417910448,0.951056495
14,20,64,2,0.85,,0,0,0,0.084444444,0.310836707,0.553006585,0,0,0,0,0.196969697,0.53030303,0.451515152,0.333333333,0.948287736
3,80,256,2,0.85,,0,0,0,0,0.36020819,0.583005442,0,0,0,0,0.176470588,0.558823529,0.467647059,0.382352941,0.943213632
3,50,64,1,0.85,,0,0,0,0,0.38241947,0.494107779,0.066666667,0,0,0,0.191176471,0.558823529,0.441176471,0.367647059,0.943193916
3,5,128,1,0.85,,0,0,0,0,0.318062326,0.545007905,0.08,0,0,0,0.117647059,0.5,0.441176471,0.382352941,0.943070231
3,50,128,1,0.85,,0,0,0,0,0.390489531,0.484110298,0.066666667,0,0,0,0.191176471,0.558823529,0.438235294,0.367647059,0.941266496
3,20,64,1,0.85,,0,0,0,0,0.372301741,0.568580632,0,0,0,0,0.191176471,0.558823529,0.464705882,0.367647059,0.940882373
7,20,256,2,0.85,,0,0,0,0.05,0.32574341,0.561506774,0,0,0,0,0.149253731,0.552238806,0.465671642,0.402985075,0.937250184
7,20,64,3,0.85,,0,0,0,0.08,0.253880342,0.602442824,0,0,0,0,0.074626866,0.507462687,0.465671642,0.432835821,0.936323166
7,5,128,2,0.85,,0,0,0,0.08,0.310978794,0.542695457,0,0,0,0,0.059701493,0.47761194,0.453731343,0.417910448,0.93367425
7,5,128,1,0.85,,0,0,0,0.08,0.325429715,0.524258518,0,0,0,0,0.059701493,0.47761194,0.450746269,0.417910448,0.929688234
7,5,256,2,0.85,,0,0,0,0,0.398406504,0.528328722,0,0,0,0,0.074626866,0.507462687,0.465671642,0.432835821,0.926735226
3,20,256,2,0.85,,0,0,0,0,0.365663372,0.557280708,0,0,0,0,0.191176471,0.573529412,0.455882353,0.382352941,0.92294408
7,5,64,3,0.85,,0,0,0,0.08,0.290196612,0.549336749,0,0,0,0,0.074626866,0.492537313,0.456716418,0.417910448,0.919533361
7,50,64,1,0.85,,0,0,0,0,0.26049967,0.574662814,0,0.08,0,0,0.104477612,0.507462687,0.453731343,0.402985075,0.915162484
3,5,64,2,0.85,,0,0,0,0,0.353415896,0.561626944,0,0,0,0,0.132352941,0.529411765,0.461764706,0.397058824,0.91504284
3,20,64,2,0.85,,0,0,0,0,0.335598079,0.575955646,0,0,0,0,0.205882353,0.573529412,0.458823529,0.367647059,0.911553725
3,5,256,2,0.85,,0,0,0,0.05,0.318452172,0.473744328,0.066666667,0,0,0,0.073529412,0.441176471,0.405882353,0.367647059,0.908863167
3,20,256,3,0.85,,0,0,0,0,0.358928913,0.54472355,0,0,0,0,0.132352941,0.514705882,0.45,0.382352941,0.903652463
3,20,128,1,0.85,,0,0,0,0,0.32912925,0.56960835,0,0,0,0,0.176470588,0.544117647,0.452941176,0.367647059,0.898737601
7,5,32,2,0.85,,0,0,0,0,0.33203638,0.564300469,0,0,0,0,0.074626866,0.492537313,0.468656716,0.417910448,0.896336849
3,20,32,1,0.85,,0,0,0,0,0.346083369,0.550163965,0,0,0,0,0.176470588,0.544117647,0.447058824,0.367647059,0.896247334
7,50,32,1,0.85,,0,0,0,0,0.222988506,0.57312483,0,0.1,0,0,0.119402985,0.507462687,0.441791045,0.388059701,0.896113335
1,5,256,1,0.85,,0,0,0,0.08,0.19580411,0.534582059,0.08,0,0,0,0.102941176,0.441176471,0.391176471,0.338235294,0.890386168
7,20,32,2,0.85,,0,0,0,0.066666667,0.193414075,0.625617915,0,0,0,0,0.104477612,0.52238806,0.474626866,0.417910448,0.885698656
14,50,128,1,0.85,,0,0,0,0.044444444,0.269689068,0.571523023,0,0,0,0,0.196969697,0.545454545,0.451515152,0.348484848,0.885656535
7,50,256,3,0.85,,0,0,0,0.08,0.255233483,0.546773699,0,0,0,0,0.149253731,0.492537313,0.432835821,0.343283582,0.882007182
