lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7,10000,20,32,3,0.85,0.585074627,0.52238806,0.641791045,0.119402985
7,10000,50,32,3,0.85,0.585074627,0.52238806,0.641791045,0.119402985
7,10000,80,128,2,0.85,0.585074627,0.507462687,0.656716418,0.149253731
3,10000,20,128,3,0.85,0.576470588,0.470588235,0.632352941,0.161764706
7,10000,80,32,2,0.85,0.576119403,0.52238806,0.641791045,0.119402985
7,10000,80,256,3,0.85,0.576119403,0.462686567,0.686567164,0.223880597
7,10000,20,64,1,0.85,0.573134328,0.47761194,0.731343284,0.253731343
7,10000,20,16,3,0.85,0.573134328,0.52238806,0.611940299,0.089552239
7,10000,5,64,1,0.85,0.570149254,0.462686567,0.641791045,0.179104478
3,10000,20,128,2,0.85,0.567647059,0.441176471,0.661764706,0.220588235
7,10000,20,32,1,0.85,0.567164179,0.432835821,0.71641791,0.28358209
7,10000,80,32,1,0.85,0.567164179,0.507462687,0.656716418,0.149253731
7,10000,20,32,2,0.85,0.567164179,0.47761194,0.671641791,0.194029851
7,10000,50,32,2,0.85,0.567164179,0.47761194,0.641791045,0.164179104
7,10000,80,64,2,0.85,0.567164179,0.462686567,0.686567164,0.223880597
7,10000,50,128,1,0.85,0.567164179,0.462686567,0.701492537,0.23880597
7,10000,80,256,1,0.85,0.567164179,0.492537313,0.671641791,0.179104478
7,10000,20,16,2,0.85,0.564179104,0.507462687,0.641791045,0.134328358
7,10000,80,64,1,0.85,0.564179104,0.47761194,0.701492537,0.223880597
7,10000,80,128,3,0.85,0.56119403,0.432835821,0.626865672,0.194029851
7,10000,5,256,2,0.85,0.56119403,0.492537313,0.611940299,0.119402985
3,10000,20,256,2,0.85,0.558823529,0.441176471,0.647058824,0.205882353
3,10000,20,256,3,0.85,0.558823529,0.426470588,0.661764706,0.235294118
7,10000,80,256,2,0.85,0.558208955,0.447761194,0.656716418,0.208955224
14,10000,80,32,2,0.85,0.557575758,0.454545455,0.666666667,0.212121212
7,10000,5,16,1,0.85,0.555223881,0.492537313,0.656716418,0.164179104
7,10000,20,16,1,0.85,0.555223881,0.492537313,0.611940299,0.119402985
7,10000,5,32,2,0.85,0.555223881,0.507462687,0.597014925,0.089552239
7,10000,50,64,1,0.85,0.555223881,0.447761194,0.656716418,0.208955224
7,10000,50,256,1,0.85,0.555223881,0.432835821,0.686567164,0.253731343
3,10000,50,256,3,0.85,0.552941176,0.441176471,0.632352941,0.191176471
7,10000,5,16,2,0.85,0.552238806,0.492537313,0.597014925,0.104477612
7,10000,50,16,3,0.85,0.552238806,0.52238806,0.597014925,0.074626866
7,10000,50,64,3,0.85,0.552238806,0.507462687,0.626865672,0.119402985
7,10000,80,128,1,0.85,0.552238806,0.492537313,0.641791045,0.149253731
14,10000,50,32,3,0.85,0.551515152,0.454545455,0.621212121,0.166666667
7,10000,50,32,1,0.85,0.549253731,0.417910448,0.701492537,0.28358209
7,10000,80,64,3,0.85,0.549253731,0.462686567,0.656716418,0.194029851
7,10000,20,128,3,0.85,0.549253731,0.462686567,0.626865672,0.164179104
3,10000,5,32,3,0.85,0.547058824,0.411764706,0.617647059,0.205882353
7,10000,50,16,2,0.85,0.546268657,0.507462687,0.626865672,0.119402985
7,10000,20,64,2,0.85,0.546268657,0.447761194,0.626865672,0.179104478
14,10000,50,64,2,0.85,0.545454545,0.484848485,0.590909091,0.106060606
3,10000,5,128,2,0.85,0.544117647,0.426470588,0.632352941,0.205882353
3,10000,5,128,3,0.85,0.544117647,0.426470588,0.617647059,0.191176471
14,10000,80,32,3,0.85,0.542424242,0.484848485,0.606060606,0.121212121
1,10000,5,16,1,0.85,0.541176471,0.485294118,0.602941176,0.117647059
3,10000,5,64,2,0.85,0.541176471,0.411764706,0.617647059,0.205882353
3,10000,5,64,3,0.85,0.541176471,0.411764706,0.632352941,0.220588235
7,10000,80,16,2,0.85,0.540298507,0.462686567,0.626865672,0.164179104
7,10000,5,64,2,0.85,0.540298507,0.447761194,0.611940299,0.164179104
7,10000,50,128,3,0.85,0.540298507,0.432835821,0.611940299,0.179104478
7,10000,50,256,2,0.85,0.540298507,0.417910448,0.626865672,0.208955224
14,10000,20,32,3,0.85,0.539393939,0.454545455,0.590909091,0.136363636
14,10000,50,128,2,0.85,0.539393939,0.46969697,0.606060606,0.136363636
1,10000,80,256,3,0.85,0.538235294,0.470588235,0.588235294,0.117647059
3,10000,80,128,3,0.85,0.538235294,0.426470588,0.602941176,0.176470588
3,10000,50,256,2,0.85,0.538235294,0.470588235,0.588235294,0.117647059
7,10000,50,16,1,0.85,0.537313433,0.432835821,0.626865672,0.194029851
7,10000,5,32,1,0.85,0.537313433,0.462686567,0.611940299,0.149253731
7,10000,20,128,1,0.85,0.537313433,0.462686567,0.686567164,0.223880597
14,10000,5,32,1,0.85,0.536363636,0.5,0.590909091,0.090909091
14,10000,50,32,1,0.85,0.536363636,0.424242424,0.636363636,0.212121212
14,10000,20,32,2,0.85,0.536363636,0.484848485,0.590909091,0.106060606
3,10000,20,64,2,0.85,0.535294118,0.455882353,0.588235294,0.132352941
3,10000,80,64,2,0.85,0.535294118,0.441176471,0.632352941,0.191176471
3,10000,5,256,1,0.85,0.535294118,0.426470588,0.602941176,0.176470588
3,10000,80,256,1,0.85,0.535294118,0.397058824,0.617647059,0.220588235
3,10000,80,256,2,0.85,0.535294118,0.426470588,0.588235294,0.161764706
7,10000,80,16,1,0.85,0.534328358,0.462686567,0.597014925,0.134328358
14,10000,20,64,2,0.85,0.533333333,0.424242424,0.590909091,0.166666667
14,10000,5,64,3,0.85,0.533333333,0.393939394,0.636363636,0.242424242
14,10000,5,128,3,0.85,0.533333333,0.409090909,0.651515152,0.242424242
1,10000,80,128,3,0.85,0.532352941,0.5,0.558823529,0.058823529
1,10000,50,256,3,0.85,0.532352941,0.470588235,0.602941176,0.132352941
3,10000,5,32,2,0.85,0.532352941,0.441176471,0.588235294,0.147058824
3,10000,20,256,1,0.85,0.532352941,0.441176471,0.588235294,0.147058824
7,10000,5,32,3,0.85,0.531343284,0.462686567,0.611940299,0.149253731
7,10000,50,64,2,0.85,0.531343284,0.432835821,0.641791045,0.208955224
7,10000,5,64,3,0.85,0.531343284,0.402985075,0.626865672,0.223880597
7,10000,20,256,2,0.85,0.531343284,0.47761194,0.597014925,0.119402985
14,10000,20,32,1,0.85,0.53030303,0.46969697,0.590909091,0.121212121
14,10000,50,32,2,0.85,0.53030303,0.439393939,0.606060606,0.166666667
14,10000,50,128,3,0.85,0.53030303,0.439393939,0.621212121,0.181818182
14,10000,50,256,1,0.85,0.53030303,0.5,0.545454545,0.045454545
1,10000,20,16,1,0.85,0.529411765,0.485294118,0.558823529,0.073529412
3,10000,20,16,1,0.85,0.529411765,0.338235294,0.602941176,0.264705882
3,10000,5,256,2,0.85,0.529411765,0.397058824,0.617647059,0.220588235
3,10000,80,256,3,0.85,0.529411765,0.397058824,0.617647059,0.220588235
7,10000,5,128,1,0.85,0.528358209,0.462686567,0.597014925,0.134328358
7,10000,50,128,2,0.85,0.528358209,0.432835821,0.626865672,0.194029851
7,10000,5,256,1,0.85,0.528358209,0.462686567,0.567164179,0.104477612
7,10000,5,256,3,0.85,0.528358209,0.492537313,0.552238806,0.059701493
14,10000,5,32,2,0.85,0.527272727,0.424242424,0.590909091,0.166666667
14,10000,20,64,1,0.85,0.527272727,0.5,0.560606061,0.060606061
1,10000,80,256,2,0.85,0.526470588,0.485294118,0.558823529,0.073529412
1,10000,20,256,3,0.85,0.526470588,0.441176471,0.558823529,0.117647059
3,10000,5,16,2,0.85,0.526470588,0.441176471,0.573529412,0.132352941
3,10000,50,32,1,0.85,0.526470588,0.441176471,0.617647059,0.176470588
3,10000,5,64,1,0.85,0.526470588,0.411764706,0.632352941,0.220588235
3,10000,50,64,1,0.85,0.526470588,0.426470588,0.602941176,0.176470588
3,10000,5,128,1,0.85,0.526470588,0.411764706,0.558823529,0.147058824
3,10000,20,128,1,0.85,0.526470588,0.411764706,0.602941176,0.191176471
3,10000,50,128,2,0.85,0.526470588,0.485294118,0.558823529,0.073529412
7,10000,5,16,3,0.85,0.525373134,0.447761194,0.686567164,0.23880597
7,10000,20,128,2,0.85,0.525373134,0.447761194,0.611940299,0.164179104
14,10000,80,64,3,0.85,0.524242424,0.439393939,0.590909091,0.151515152
14,10000,80,128,1,0.85,0.524242424,0.454545455,0.545454545,0.090909091
14,10000,80,128,2,0.85,0.524242424,0.424242424,0.606060606,0.181818182
1,10000,50,16,1,0.85,0.523529412,0.5,0.588235294,0.088235294
3,10000,50,16,2,0.85,0.523529412,0.470588235,0.573529412,0.102941176
3,10000,80,32,1,0.85,0.523529412,0.426470588,0.602941176,0.176470588
3,10000,50,128,1,0.85,0.523529412,0.426470588,0.632352941,0.205882353
3,10000,80,128,1,0.85,0.523529412,0.367647059,0.617647059,0.25
3,10000,5,256,3,0.85,0.523529412,0.397058824,0.588235294,0.191176471
7,10000,5,128,2,0.85,0.52238806,0.47761194,0.567164179,0.089552239
14,10000,20,16,3,0.85,0.521212121,0.439393939,0.575757576,0.136363636
14,10000,80,64,2,0.85,0.521212121,0.46969697,0.590909091,0.121212121
14,10000,50,64,3,0.85,0.521212121,0.46969697,0.545454545,0.075757576
14,10000,80,256,2,0.85,0.521212121,0.409090909,0.590909091,0.181818182
1,10000,20,128,2,0.85,0.520588235,0.485294118,0.544117647,0.058823529
1,10000,5,128,3,0.85,0.520588235,0.441176471,0.573529412,0.132352941
3,10000,5,16,3,0.85,0.520588235,0.426470588,0.573529412,0.147058824
3,10000,20,32,2,0.85,0.520588235,0.470588235,0.573529412,0.102941176
3,10000,50,64,2,0.85,0.520588235,0.455882353,0.588235294,0.132352941
3,10000,50,256,1,0.85,0.520588235,0.441176471,0.617647059,0.176470588
7,10000,20,64,3,0.85,0.519402985,0.47761194,0.597014925,0.119402985
7,10000,20,256,3,0.85,0.519402985,0.417910448,0.582089552,0.164179104
14,10000,80,128,3,0.85,0.518181818,0.454545455,0.590909091,0.136363636
14,10000,20,256,1,0.85,0.518181818,0.439393939,0.560606061,0.121212121
14,10000,20,256,3,0.85,0.518181818,0.424242424,0.606060606,0.181818182
1,10000,50,32,1,0.85,0.517647059,0.470588235,0.573529412,0.102941176
1,10000,80,128,2,0.85,0.517647059,0.470588235,0.544117647,0.073529412
1,10000,20,128,3,0.85,0.517647059,0.485294118,0.544117647,0.058823529
1,10000,5,256,1,0.85,0.517647059,0.426470588,0.573529412,0.147058824
1,10000,20,256,1,0.85,0.517647059,0.470588235,0.544117647,0.073529412
3,10000,20,64,1,0.85,0.517647059,0.426470588,0.558823529,0.132352941
3,10000,20,64,3,0.85,0.517647059,0.455882353,0.573529412,0.117647059
3,10000,80,128,2,0.85,0.517647059,0.426470588,0.573529412,0.147058824
7,10000,50,256,3,0.85,0.51641791,0.447761194,0.567164179,0.119402985
14,10000,50,16,3,0.85,0.515151515,0.454545455,0.560606061,0.106060606
14,10000,80,16,3,0.85,0.515151515,0.424242424,0.560606061,0.136363636
14,10000,5,32,3,0.85,0.515151515,0.454545455,0.590909091,0.136363636
14,10000,50,128,1,0.85,0.515151515,0.46969697,0.545454545,0.075757576
14,10000,5,256,2,0.85,0.515151515,0.439393939,0.621212121,0.181818182
14,10000,5,256,3,0.85,0.515151515,0.393939394,0.636363636,0.242424242
1,10000,20,64,2,0.85,0.514705882,0.455882353,0.558823529,0.102941176
1,10000,20,64,3,0.85,0.514705882,0.441176471,0.544117647,0.102941176
1,10000,50,128,1,0.85,0.514705882,0.470588235,0.558823529,0.088235294
1,10000,5,128,2,0.85,0.514705882,0.441176471,0.558823529,0.117647059
1,10000,20,256,2,0.85,0.514705882,0.441176471,0.558823529,0.117647059
3,10000,50,64,3,0.85,0.514705882,0.455882353,0.588235294,0.132352941
7,10000,80,16,3,0.85,0.513432836,0.492537313,0.582089552,0.089552239
14,10000,50,16,2,0.85,0.512121212,0.454545455,0.590909091,0.136363636
14,10000,20,128,1,0.85,0.512121212,0.454545455,0.575757576,0.121212121
14,10000,5,256,1,0.85,0.512121212,0.424242424,0.636363636,0.212121212
14,10000,80,256,1,0.85,0.512121212,0.454545455,0.560606061,0.106060606
1,10000,80,64,3,0.85,0.511764706,0.470588235,0.558823529,0.088235294
1,10000,5,32,3,0.85,0.511764706,0.411764706,0.602941176,0.191176471
1,10000,5,64,2,0.85,0.511764706,0.411764706,0.573529412,0.161764706
1,10000,50,64,3,0.85,0.511764706,0.455882353,0.573529412,0.117647059
