lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
1.0,10000.0,5.0,16.0,1.0,0.85,0.46470588235294114,0.4264705882352941,0.5147058823529411,0.08823529411764702
1.0,10000.0,20.0,16.0,1.0,0.85,0.488235294117647,0.45588235294117646,0.5147058823529411,0.05882352941176466
1.0,10000.0,50.0,16.0,1.0,0.85,0.4970588235294118,0.47058823529411764,0.5294117647058824,0.05882352941176472
1.0,10000.0,80.0,16.0,1.0,0.85,0.49411764705882355,0.47058823529411764,0.5441176470588235,0.07352941176470584
1.0,10000.0,5.0,16.0,2.0,0.85,0.46764705882352936,0.4411764705882353,0.5,0.05882352941176472
1.0,10000.0,20.0,16.0,2.0,0.85,0.488235294117647,0.4411764705882353,0.5147058823529411,0.07352941176470584
1.0,10000.0,50.0,16.0,2.0,0.85,0.5029411764705882,0.4852941176470588,0.5294117647058824,0.04411764705882354
1.0,10000.0,80.0,16.0,2.0,0.85,0.4794117647058823,0.4411764705882353,0.5147058823529411,0.07352941176470584
1.0,10000.0,5.0,16.0,3.0,0.85,0.4764705882352941,0.45588235294117646,0.5,0.04411764705882354
1.0,10000.0,20.0,16.0,3.0,0.85,0.4911764705882353,0.4264705882352941,0.5294117647058824,0.10294117647058826
1.0,10000.0,50.0,16.0,3.0,0.85,0.49411764705882355,0.45588235294117646,0.5294117647058824,0.0735294117647059
1.0,10000.0,80.0,16.0,3.0,0.85,0.49411764705882355,0.4411764705882353,0.5294117647058824,0.08823529411764708
1.0,10000.0,5.0,32.0,1.0,0.85,0.4617647058823529,0.4264705882352941,0.4852941176470588,0.05882352941176472
1.0,10000.0,20.0,32.0,1.0,0.85,0.4676470588235294,0.4264705882352941,0.4852941176470588,0.05882352941176472
1.0,10000.0,50.0,32.0,1.0,0.85,0.4794117647058823,0.4411764705882353,0.5147058823529411,0.07352941176470584
1.0,10000.0,80.0,32.0,1.0,0.85,0.45588235294117646,0.4264705882352941,0.4852941176470588,0.05882352941176472
1.0,10000.0,5.0,32.0,2.0,0.85,0.4676470588235294,0.4264705882352941,0.5294117647058824,0.10294117647058826
1.0,10000.0,20.0,32.0,2.0,0.85,0.47352941176470587,0.4411764705882353,0.5294117647058824,0.08823529411764708
1.0,10000.0,50.0,32.0,2.0,0.85,0.48529411764705876,0.45588235294117646,0.5147058823529411,0.05882352941176466
1.0,10000.0,80.0,32.0,2.0,0.85,0.47058823529411764,0.4411764705882353,0.5147058823529411,0.07352941176470584
1.0,10000.0,5.0,32.0,3.0,0.85,0.47352941176470587,0.4264705882352941,0.5294117647058824,0.10294117647058826
1.0,10000.0,20.0,32.0,3.0,0.85,0.4764705882352941,0.4264705882352941,0.5294117647058824,0.10294117647058826
1.0,10000.0,50.0,32.0,3.0,0.85,0.5,0.4852941176470588,0.5294117647058824,0.04411764705882354
1.0,10000.0,80.0,32.0,3.0,0.85,0.46764705882352936,0.4117647058823529,0.5147058823529411,0.1029411764705882
1.0,10000.0,5.0,64.0,1.0,0.85,0.47352941176470587,0.4411764705882353,0.5441176470588235,0.1029411764705882
1.0,10000.0,20.0,64.0,1.0,0.85,0.47058823529411764,0.4264705882352941,0.5147058823529411,0.08823529411764702
1.0,10000.0,50.0,64.0,1.0,0.85,0.4882352941176471,0.47058823529411764,0.5147058823529411,0.044117647058823484
1.0,10000.0,80.0,64.0,1.0,0.85,0.4647058823529412,0.4264705882352941,0.5,0.0735294117647059
1.0,10000.0,5.0,64.0,2.0,0.85,0.4588235294117647,0.4264705882352941,0.5,0.0735294117647059
1.0,10000.0,20.0,64.0,2.0,0.85,0.49411764705882355,0.45588235294117646,0.5294117647058824,0.0735294117647059
1.0,10000.0,50.0,64.0,2.0,0.85,0.4676470588235294,0.4264705882352941,0.5147058823529411,0.08823529411764702
