lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
1.0,10000.0,50.0,64.0,3.0,0.85,0.48695652173913045,0.391304347826087,0.5362318840579711,0.1449275362318841
1.0,10000.0,80.0,64.0,3.0,0.85,0.510144927536232,0.37681159420289856,0.5797101449275363,0.2028985507246377
1.0,10000.0,5.0,128.0,1.0,0.85,0.5159420289855072,0.4057971014492754,0.5942028985507246,0.18840579710144922
1.0,10000.0,20.0,128.0,1.0,0.85,0.5043478260869565,0.4057971014492754,0.5507246376811594,0.14492753623188404
1.0,10000.0,50.0,128.0,1.0,0.85,0.47536231884057967,0.391304347826087,0.5362318840579711,0.1449275362318841
1.0,10000.0,80.0,128.0,1.0,0.85,0.5130434782608695,0.36231884057971014,0.5942028985507246,0.23188405797101447
1.0,10000.0,5.0,128.0,2.0,0.85,0.5101449275362319,0.42028985507246375,0.5942028985507246,0.17391304347826086
1.0,10000.0,20.0,128.0,2.0,0.85,0.5159420289855073,0.43478260869565216,0.5507246376811594,0.11594202898550726
1.0,10000.0,50.0,128.0,2.0,0.85,0.501449275362319,0.4057971014492754,0.5507246376811594,0.14492753623188404
1.0,10000.0,80.0,128.0,2.0,0.85,0.518840579710145,0.42028985507246375,0.5942028985507246,0.17391304347826086
1.0,10000.0,5.0,128.0,3.0,0.85,0.510144927536232,0.43478260869565216,0.5942028985507246,0.15942028985507245
1.0,10000.0,20.0,128.0,3.0,0.85,0.5014492753623188,0.37681159420289856,0.5507246376811594,0.17391304347826086
1.0,10000.0,50.0,128.0,3.0,0.85,0.5043478260869566,0.42028985507246375,0.5362318840579711,0.11594202898550732
1.0,10000.0,80.0,128.0,3.0,0.85,0.5217391304347826,0.42028985507246375,0.5942028985507246,0.17391304347826086
1.0,10000.0,5.0,256.0,1.0,0.85,0.5159420289855072,0.4057971014492754,0.5942028985507246,0.18840579710144922
1.0,10000.0,20.0,256.0,1.0,0.85,0.518840579710145,0.42028985507246375,0.5797101449275363,0.1594202898550725
1.0,10000.0,50.0,256.0,1.0,0.85,0.4782608695652174,0.37681159420289856,0.5507246376811594,0.17391304347826086
1.0,10000.0,80.0,256.0,1.0,0.85,0.527536231884058,0.43478260869565216,0.5942028985507246,0.15942028985507245
1.0,10000.0,5.0,256.0,2.0,0.85,0.5014492753623189,0.4057971014492754,0.5797101449275363,0.17391304347826086
1.0,10000.0,20.0,256.0,2.0,0.85,0.49855072463768113,0.391304347826087,0.5652173913043478,0.1739130434782608
1.0,10000.0,50.0,256.0,2.0,0.85,0.5014492753623189,0.4057971014492754,0.5652173913043478,0.1594202898550724
1.0,10000.0,80.0,256.0,2.0,0.85,0.5130434782608695,0.42028985507246375,0.5797101449275363,0.1594202898550725
1.0,10000.0,5.0,256.0,3.0,0.85,0.48405797101449277,0.4057971014492754,0.5507246376811594,0.14492753623188404
1.0,10000.0,20.0,256.0,3.0,0.85,0.5072463768115942,0.4057971014492754,0.5797101449275363,0.17391304347826086
1.0,10000.0,50.0,256.0,3.0,0.85,0.5043478260869566,0.42028985507246375,0.5507246376811594,0.13043478260869568
1.0,10000.0,80.0,256.0,3.0,0.85,0.5130434782608695,0.42028985507246375,0.5507246376811594,0.13043478260869568
