lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7,80,64,3,0.85,0.52238806,0.388059701,0.611940299,0.223880597
7,50,64,3,0.85,0.519402985,0.388059701,0.611940299,0.223880597
7,80,16,1,0.85,0.51641791,0.417910448,0.611940299,0.194029851
7,80,32,3,0.85,0.51641791,0.373134328,0.611940299,0.23880597
7,20,32,2,0.85,0.510447761,0.417910448,0.611940299,0.194029851
14,50,16,3,0.85,0.539393939,0.409090909,0.606060606,0.196969697
14,50,16,1,0.85,0.524242424,0.439393939,0.606060606,0.166666667
14,5,64,1,0.85,0.524242424,0.46969697,0.606060606,0.136363636
14,20,16,2,0.85,0.518181818,0.439393939,0.606060606,0.166666667
14,50,128,3,0.85,0.515151515,0.424242424,0.606060606,0.181818182
14,5,256,1,0.85,0.506060606,0.454545455,0.606060606,0.151515152
14,5,256,3,0.85,0.484848485,0.424242424,0.606060606,0.181818182
3,5,256,1,0.85,0.570588235,0.529411765,0.602941176,0.073529412
3,5,128,1,0.85,0.567647059,0.529411765,0.602941176,0.073529412
3,5,128,2,0.85,0.564705882,0.514705882,0.602941176,0.088235294
3,5,256,3,0.85,0.561764706,0.514705882,0.602941176,0.088235294
3,5,64,3,0.85,0.552941176,0.485294118,0.602941176,0.117647059
3,5,64,2,0.85,0.55,0.470588235,0.602941176,0.132352941
3,80,128,1,0.85,0.55,0.514705882,0.602941176,0.088235294
3,5,128,3,0.85,0.55,0.5,0.602941176,0.102941176
3,20,256,2,0.85,0.547058824,0.441176471,0.602941176,0.161764706
3,5,16,2,0.85,0.541176471,0.485294118,0.602941176,0.117647059
3,5,32,1,0.85,0.535294118,0.455882353,0.602941176,0.147058824
3,80,32,3,0.85,0.535294118,0.5,0.602941176,0.102941176
3,80,64,1,0.85,0.535294118,0.5,0.602941176,0.102941176
3,80,256,1,0.85,0.535294118,0.5,0.602941176,0.102941176
3,80,256,2,0.85,0.535294118,0.5,0.602941176,0.102941176
3,20,16,3,0.85,0.529411765,0.485294118,0.602941176,0.117647059
7,20,256,3,0.85,0.543283582,0.47761194,0.597014925,0.119402985
7,20,128,1,0.85,0.537313433,0.47761194,0.597014925,0.119402985
7,20,256,2,0.85,0.537313433,0.447761194,0.597014925,0.149253731
7,20,64,3,0.85,0.525373134,0.447761194,0.597014925,0.149253731
7,50,128,2,0.85,0.525373134,0.447761194,0.597014925,0.149253731
7,80,64,2,0.85,0.52238806,0.388059701,0.597014925,0.208955224
7,80,128,1,0.85,0.51641791,0.417910448,0.597014925,0.179104478
7,5,16,2,0.85,0.513432836,0.402985075,0.597014925,0.194029851
7,5,64,3,0.85,0.501492537,0.388059701,0.597014925,0.208955224
7,5,32,3,0.85,0.495522388,0.402985075,0.597014925,0.194029851
7,80,32,1,0.85,0.48358209,0.373134328,0.597014925,0.223880597
14,20,256,2,0.85,0.545454545,0.484848485,0.590909091,0.106060606
14,80,256,3,0.85,0.533333333,0.439393939,0.590909091,0.151515152
14,5,64,2,0.85,0.527272727,0.46969697,0.590909091,0.121212121
14,20,16,1,0.85,0.512121212,0.454545455,0.590909091,0.136363636
14,50,16,2,0.85,0.503030303,0.424242424,0.590909091,0.166666667
14,80,32,2,0.85,0.478787879,0.424242424,0.590909091,0.166666667
3,5,64,1,0.85,0.555882353,0.514705882,0.588235294,0.073529412
3,5,256,2,0.85,0.547058824,0.5,0.588235294,0.088235294
3,80,64,3,0.85,0.544117647,0.514705882,0.588235294,0.073529412
3,5,16,3,0.85,0.538235294,0.485294118,0.588235294,0.102941176
3,5,32,3,0.85,0.538235294,0.485294118,0.588235294,0.102941176
3,80,64,2,0.85,0.538235294,0.514705882,0.588235294,0.073529412
3,80,128,2,0.85,0.538235294,0.514705882,0.588235294,0.073529412
3,20,256,3,0.85,0.538235294,0.485294118,0.588235294,0.102941176
3,80,16,2,0.85,0.532352941,0.5,0.588235294,0.088235294
3,20,256,1,0.85,0.532352941,0.485294118,0.588235294,0.102941176
3,80,16,1,0.85,0.526470588,0.5,0.588235294,0.088235294
3,80,32,1,0.85,0.526470588,0.455882353,0.588235294,0.132352941
3,80,16,3,0.85,0.523529412,0.5,0.588235294,0.088235294
1,5,256,2,0.85,0.497058824,0.397058824,0.588235294,0.191176471
