lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
3,20,128,3,0.85,0.544117647,0.470588235,0.617647059,0.147058824
3,80,32,1,0.85,0.544117647,0.5,0.602941176,0.102941176
3,5,64,2,0.85,0.544117647,0.470588235,0.602941176,0.132352941
3,80,16,1,0.85,0.544117647,0.5,0.588235294,0.088235294
3,80,16,2,0.85,0.544117647,0.5,0.588235294,0.088235294
14,80,256,1,0.85,0.542424242,0.46969697,0.712121212,0.242424242
14,20,256,1,0.85,0.542424242,0.454545455,0.636363636,0.181818182
3,20,16,1,0.85,0.541176471,0.470588235,0.647058824,0.176470588
3,80,256,3,0.85,0.541176471,0.470588235,0.602941176,0.132352941
3,5,16,2,0.85,0.541176471,0.485294118,0.602941176,0.117647059
14,80,128,2,0.85,0.539393939,0.424242424,0.681818182,0.257575758
14,50,256,2,0.85,0.539393939,0.424242424,0.621212121,0.196969697
3,50,32,1,0.85,0.538235294,0.441176471,0.705882353,0.264705882
3,50,64,2,0.85,0.538235294,0.426470588,0.661764706,0.235294118
14,80,256,3,0.85,0.536363636,0.424242424,0.681818182,0.257575758
14,50,256,1,0.85,0.536363636,0.454545455,0.666666667,0.212121212
3,20,256,1,0.85,0.535294118,0.426470588,0.617647059,0.191176471
3,5,256,2,0.85,0.535294118,0.485294118,0.617647059,0.132352941
3,5,16,1,0.85,0.535294118,0.470588235,0.588235294,0.117647059
3,5,64,1,0.85,0.535294118,0.441176471,0.588235294,0.147058824
14,50,128,3,0.85,0.533333333,0.393939394,0.681818182,0.287878788
14,50,64,3,0.85,0.533333333,0.424242424,0.681818182,0.257575758
14,50,64,1,0.85,0.533333333,0.46969697,0.636363636,0.166666667
3,5,128,1,0.85,0.532352941,0.441176471,0.573529412,0.132352941
7,50,32,1,0.85,0.531343284,0.47761194,0.597014925,0.119402985
14,80,64,2,0.85,0.53030303,0.424242424,0.621212121,0.196969697
14,50,32,1,0.85,0.53030303,0.454545455,0.590909091,0.136363636
14,20,64,1,0.85,0.53030303,0.424242424,0.590909091,0.166666667
14,20,64,3,0.85,0.53030303,0.439393939,0.590909091,0.151515152
3,50,256,1,0.85,0.529411765,0.426470588,0.661764706,0.235294118
3,20,32,1,0.85,0.529411765,0.455882353,0.647058824,0.191176471
3,80,256,1,0.85,0.529411765,0.455882353,0.588235294,0.132352941
7,20,256,2,0.85,0.528358209,0.462686567,0.611940299,0.149253731
14,5,64,2,0.85,0.527272727,0.409090909,0.666666667,0.257575758
14,5,64,1,0.85,0.527272727,0.454545455,0.606060606,0.151515152
14,20,64,2,0.85,0.527272727,0.424242424,0.590909091,0.166666667
3,50,64,1,0.85,0.526470588,0.411764706,0.661764706,0.25
3,50,128,3,0.85,0.526470588,0.455882353,0.647058824,0.191176471
3,5,256,3,0.85,0.526470588,0.470588235,0.558823529,0.088235294
3,50,64,3,0.85,0.523529412,0.455882353,0.617647059,0.161764706
14,50,32,2,0.85,0.521212121,0.424242424,0.636363636,0.212121212
14,50,16,2,0.85,0.521212121,0.454545455,0.590909091,0.136363636
3,50,32,2,0.85,0.520588235,0.441176471,0.661764706,0.220588235
3,50,32,3,0.85,0.520588235,0.426470588,0.617647059,0.191176471
7,5,128,2,0.85,0.519402985,0.417910448,0.582089552,0.164179104
7,80,128,3,0.85,0.519402985,0.388059701,0.582089552,0.194029851
14,20,32,1,0.85,0.518181818,0.424242424,0.621212121,0.196969697
14,20,256,2,0.85,0.518181818,0.424242424,0.606060606,0.181818182
3,5,256,1,0.85,0.517647059,0.455882353,0.573529412,0.117647059
1,50,128,3,0.85,0.517647059,0.485294118,0.558823529,0.073529412
1,50,16,3,0.85,0.517647059,0.5,0.529411765,0.029411765
7,80,256,2,0.85,0.51641791,0.388059701,0.641791045,0.253731343
7,20,32,1,0.85,0.51641791,0.402985075,0.582089552,0.179104478
7,20,128,1,0.85,0.51641791,0.432835821,0.582089552,0.149253731
7,50,16,1,0.85,0.51641791,0.47761194,0.552238806,0.074626866
7,20,16,2,0.85,0.51641791,0.47761194,0.552238806,0.074626866
7,5,64,3,0.85,0.51641791,0.47761194,0.552238806,0.074626866
14,80,64,3,0.85,0.515151515,0.393939394,0.651515152,0.257575758
14,5,32,2,0.85,0.515151515,0.439393939,0.606060606,0.166666667
14,50,32,3,0.85,0.515151515,0.393939394,0.606060606,0.212121212
14,80,32,3,0.85,0.515151515,0.424242424,0.590909091,0.166666667
14,20,32,3,0.85,0.515151515,0.424242424,0.575757576,0.151515152
14,50,256,3,0.85,0.515151515,0.424242424,0.575757576,0.151515152
3,50,128,1,0.85,0.514705882,0.411764706,0.661764706,0.25
3,20,256,3,0.85,0.514705882,0.455882353,0.558823529,0.102941176
7,5,32,1,0.85,0.513432836,0.402985075,0.656716418,0.253731343
7,20,128,2,0.85,0.513432836,0.432835821,0.597014925,0.164179104
7,80,16,2,0.85,0.513432836,0.417910448,0.597014925,0.179104478
14,5,16,2,0.85,0.512121212,0.46969697,0.590909091,0.121212121
14,20,32,2,0.85,0.512121212,0.409090909,0.575757576,0.166666667
14,20,128,1,0.85,0.512121212,0.424242424,0.575757576,0.151515152
3,50,128,2,0.85,0.511764706,0.426470588,0.632352941,0.205882353
1,50,128,2,0.85,0.511764706,0.485294118,0.558823529,0.073529412
3,50,16,3,0.85,0.511764706,0.485294118,0.558823529,0.073529412
1,50,128,1,0.85,0.511764706,0.485294118,0.544117647,0.058823529
