lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
3,20,256,2,0.85,0.585507246,0.47826087,0.666666667,0.188405797
3,20,128,3,0.85,0.573913043,0.507246377,0.623188406,0.115942029
3,20,128,1,0.85,0.571014493,0.47826087,0.637681159,0.15942029
3,5,64,1,0.85,0.571014493,0.507246377,0.623188406,0.115942029
3,20,128,2,0.85,0.568115942,0.47826087,0.623188406,0.144927536
3,5,32,2,0.85,0.565217391,0.492753623,0.637681159,0.144927536
3,20,64,3,0.85,0.565217391,0.492753623,0.608695652,0.115942029
3,5,16,2,0.85,0.562318841,0.492753623,0.652173913,0.15942029
3,5,32,3,0.85,0.562318841,0.492753623,0.594202899,0.101449275
3,5,32,1,0.85,0.55942029,0.492753623,0.623188406,0.130434783
3,5,64,2,0.85,0.55942029,0.463768116,0.623188406,0.15942029
3,20,256,1,0.85,0.556521739,0.492753623,0.623188406,0.130434783
3,5,128,2,0.85,0.556521739,0.449275362,0.608695652,0.15942029
3,5,256,3,0.85,0.556521739,0.492753623,0.608695652,0.115942029
3,50,128,2,0.85,0.553623188,0.52173913,0.623188406,0.101449275
3,5,128,1,0.85,0.553623188,0.463768116,0.608695652,0.144927536
3,20,64,2,0.85,0.553623188,0.507246377,0.579710145,0.072463768
3,50,128,3,0.85,0.550724638,0.492753623,0.637681159,0.144927536
3,5,256,2,0.85,0.550724638,0.47826087,0.623188406,0.144927536
3,20,256,3,0.85,0.544927536,0.434782609,0.594202899,0.15942029
3,50,256,3,0.85,0.542028986,0.449275362,0.637681159,0.188405797
3,50,64,3,0.85,0.542028986,0.492753623,0.623188406,0.130434783
3,50,256,2,0.85,0.542028986,0.463768116,0.608695652,0.144927536
3,5,64,3,0.85,0.542028986,0.507246377,0.579710145,0.072463768
3,20,64,1,0.85,0.539130435,0.47826087,0.623188406,0.144927536
3,80,256,2,0.85,0.536231884,0.463768116,0.608695652,0.144927536
