lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7,80,32,1,0.85,0.591044776,0.52238806,0.671641791,0.149253731
14,20,128,1,0.85,0.584848485,0.53030303,0.621212121,0.090909091
14,50,128,1,0.85,0.578787879,0.53030303,0.636363636,0.106060606
7,80,64,1,0.85,0.576119403,0.507462687,0.611940299,0.104477612
14,50,128,2,0.85,0.575757576,0.53030303,0.666666667,0.136363636
14,50,256,1,0.85,0.575757576,0.53030303,0.621212121,0.090909091
14,80,128,1,0.85,0.572727273,0.5,0.636363636,0.136363636
7,5,32,1,0.85,0.570149254,0.507462687,0.641791045,0.134328358
7,80,128,2,0.85,0.570149254,0.537313433,0.611940299,0.074626866
7,80,256,1,0.85,0.570149254,0.52238806,0.611940299,0.089552239
14,20,256,1,0.85,0.56969697,0.545454545,0.590909091,0.045454545
7,20,128,1,0.85,0.567164179,0.462686567,0.626865672,0.164179104
7,80,128,1,0.85,0.567164179,0.52238806,0.611940299,0.089552239
7,20,32,2,0.85,0.567164179,0.537313433,0.597014925,0.059701493
7,20,32,1,0.85,0.567164179,0.537313433,0.582089552,0.044776119
7,50,64,2,0.85,0.564179104,0.537313433,0.597014925,0.059701493
7,80,256,2,0.85,0.564179104,0.492537313,0.656716418,0.164179104
14,50,64,1,0.85,0.563636364,0.5,0.621212121,0.121212121
14,80,64,1,0.85,0.563636364,0.5,0.606060606,0.106060606
7,5,128,3,0.85,0.56119403,0.507462687,0.656716418,0.149253731
7,20,256,1,0.85,0.56119403,0.52238806,0.611940299,0.089552239
7,80,64,2,0.85,0.56119403,0.507462687,0.597014925,0.089552239
14,20,16,1,0.85,0.560606061,0.5,0.621212121,0.121212121
14,50,64,2,0.85,0.560606061,0.484848485,0.621212121,0.136363636
14,20,64,2,0.85,0.560606061,0.53030303,0.590909091,0.060606061
7,20,16,1,0.85,0.558208955,0.47761194,0.641791045,0.164179104
7,50,16,1,0.85,0.558208955,0.492537313,0.626865672,0.134328358
14,80,64,2,0.85,0.557575758,0.484848485,0.636363636,0.151515152
14,50,32,1,0.85,0.557575758,0.484848485,0.606060606,0.121212121
14,80,32,1,0.85,0.557575758,0.5,0.590909091,0.090909091
7,50,32,2,0.85,0.555223881,0.492537313,0.582089552,0.089552239
7,20,64,1,0.85,0.555223881,0.492537313,0.582089552,0.089552239
14,80,256,2,0.85,0.554545455,0.515151515,0.575757576,0.060606061
7,50,32,1,0.85,0.552238806,0.492537313,0.626865672,0.134328358
7,5,64,1,0.85,0.552238806,0.507462687,0.626865672,0.119402985
7,50,256,2,0.85,0.552238806,0.492537313,0.597014925,0.104477612
7,80,16,2,0.85,0.552238806,0.492537313,0.597014925,0.104477612
14,80,64,3,0.85,0.551515152,0.484848485,0.621212121,0.136363636
7,80,64,3,0.85,0.549253731,0.492537313,0.611940299,0.119402985
7,5,32,2,0.85,0.549253731,0.492537313,0.597014925,0.104477612
7,20,64,2,0.85,0.549253731,0.492537313,0.597014925,0.104477612
7,50,32,3,0.85,0.549253731,0.507462687,0.582089552,0.074626866
7,20,128,2,0.85,0.549253731,0.492537313,0.582089552,0.089552239
14,50,32,2,0.85,0.548484848,0.424242424,0.606060606,0.181818182
7,5,16,1,0.85,0.546268657,0.447761194,0.641791045,0.194029851
7,80,32,2,0.85,0.546268657,0.492537313,0.582089552,0.089552239
14,80,128,2,0.85,0.545454545,0.515151515,0.560606061,0.045454545
7,5,256,2,0.85,0.543283582,0.47761194,0.626865672,0.149253731
7,20,256,2,0.85,0.543283582,0.492537313,0.626865672,0.134328358
7,80,256,3,0.85,0.543283582,0.492537313,0.626865672,0.134328358
7,20,128,3,0.85,0.543283582,0.492537313,0.597014925,0.104477612
7,80,128,3,0.85,0.543283582,0.507462687,0.582089552,0.074626866
7,20,32,3,0.85,0.543283582,0.52238806,0.567164179,0.044776119
14,20,32,1,0.85,0.542424242,0.5,0.606060606,0.106060606
