lag,epochs,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,total_f1
3,10000,20,128,1,0.85,,0,0,0,0,0.373366013,0.568884625,0.08,0,0,0,0.176470588,0.558823529,0.461764706,0.382352941,1.022250638
7,10000,20,128,3,0.85,,0,0,0,0.057142857,0.450616272,0.513211233,0,0,0,0,0.119402985,0.52238806,0.456716418,0.402985075,1.020970362
7,10000,5,64,2,0.85,,0,0,0,0,0.471834185,0.546195433,0,0,0,0,0.044776119,0.507462687,0.486567164,0.462686567,1.018029618
3,10000,20,64,2,0.85,,0,0,0,0,0.402036047,0.54802599,0.066666667,0,0,0,0.176470588,0.544117647,0.461764706,0.367647059,1.016728704
3,10000,5,128,2,0.85,,0,0,0,0,0.401520623,0.510480694,0.1,0,0,0,0.191176471,0.544117647,0.438235294,0.352941176,1.012001318
3,10000,5,64,3,0.85,,0,0,0,0,0.375644008,0.554462972,0.08,0,0,0,0.147058824,0.514705882,0.455882353,0.367647059,1.01010698
7,10000,80,256,1,0.85,,0,0,0,0,0.408252567,0.601463237,0,0,0,0,0.134328358,0.567164179,0.501492537,0.432835821,1.009715804
7,10000,5,64,1,0.85,,0,0,0,0,0.484394094,0.52408124,0,0,0,0,0.044776119,0.492537313,0.47761194,0.447761194,1.008475334
7,10000,5,16,1,0.85,,0,0,0,0.066666667,0.37179455,0.569278305,0,0,0,0,0.089552239,0.507462687,0.465671642,0.417910448,1.007739522
7,10000,20,32,2,0.85,,0,0,0,0.116666667,0.272196382,0.61770163,0,0,0,0,0.119402985,0.537313433,0.486567164,0.417910448,1.006564679
3,10000,80,256,1,0.85,,0,0,0,0,0.363818301,0.562700574,0.08,0,0,0,0.161764706,0.514705882,0.452941176,0.352941176,1.006518875
3,10000,5,64,2,0.85,,0,0,0,0,0.386457023,0.535518577,0.08,0,0,0,0.191176471,0.529411765,0.447058824,0.338235294,1.0019756
3,10000,20,64,3,0.85,,0,0,0,0,0.307668387,0.546010486,0.146666667,0,0,0,0.161764706,0.529411765,0.435294118,0.367647059,1.000345539
3,10000,20,32,1,0.85,,0,0,0,0,0.362690058,0.55629391,0.08,0,0,0,0.176470588,0.544117647,0.455882353,0.367647059,0.998983968
7,10000,50,32,3,0.85,,0,0,0,0.101587302,0.32019339,0.573548604,0,0,0,0,0.089552239,0.507462687,0.459701493,0.417910448,0.995329295
7,10000,50,128,2,0.85,,0,0,0,0.101587302,0.33122807,0.560403384,0,0,0,0,0.179104478,0.582089552,0.462686567,0.402985075,0.993218755
7,10000,20,256,1,0.85,,0,0,0,0.044444444,0.379746195,0.567730471,0,0,0,0,0.104477612,0.537313433,0.480597015,0.432835821,0.99192111
1,10000,20,256,1,0.85,,0,0,0.133333333,0,0.249255332,0.529217185,0.08,0,0,0,0.073529412,0.441176471,0.405882353,0.367647059,0.991805851
7,10000,80,64,2,0.85,,0,0,0,0,0.330858462,0.593972379,0.066666667,0,0,0,0.074626866,0.507462687,0.471641791,0.432835821,0.991497508
7,10000,50,32,2,0.85,,0,0,0,0.066666667,0.342517064,0.571196162,0,0,0,0,0.119402985,0.52238806,0.465671642,0.402985075,0.980379893
7,10000,80,32,2,0.85,,0,0,0,0.04,0.340939079,0.598805458,0,0,0,0,0.104477612,0.537313433,0.48358209,0.432835821,0.979744537
3,10000,50,128,2,0.85,,0,0,0,0,0.407357873,0.515059349,0.057142857,0,0,0,0.161764706,0.529411765,0.45,0.367647059,0.979560079
7,10000,50,64,3,0.85,,0,0,0,0.05,0.3411105,0.583892736,0,0,0,0,0.149253731,0.567164179,0.468656716,0.417910448,0.975003236
7,10000,5,128,3,0.85,,0,0,0,0.1,0.360369674,0.512850037,0,0,0,0,0.089552239,0.507462687,0.459701493,0.417910448,0.973219711
3,10000,50,32,1,0.85,,0,0,0,0.066666667,0.370227363,0.469545959,0.066666667,0,0,0,0.161764706,0.529411765,0.426470588,0.367647059,0.973106655
3,10000,20,32,3,0.85,,0,0,0,0.066666667,0.295670996,0.542528094,0.066666667,0,0,0,0.132352941,0.514705882,0.435294118,0.382352941,0.971532423
1,10000,20,128,1,0.85,,0,0,0.133333333,0,0.226596737,0.528340642,0.08,0,0,0,0.088235294,0.441176471,0.4,0.352941176,0.968270712
7,10000,20,256,2,0.85,,0,0,0,0,0.469400877,0.495905858,0,0,0,0,0.104477612,0.507462687,0.450746269,0.402985075,0.965306735
3,10000,50,32,2,0.85,,0,0,0,0,0.407042807,0.487301611,0.066666667,0,0,0,0.147058824,0.514705882,0.444117647,0.367647059,0.961011085
7,10000,50,64,2,0.85,,0,0,0,0,0.349536586,0.544041181,0.066666667,0,0,0,0.164179104,0.537313433,0.456716418,0.373134328,0.960244433
7,10000,20,256,3,0.85,,0,0,0,0.057142857,0.304325678,0.594140344,0,0,0,0,0.119402985,0.537313433,0.462686567,0.417910448,0.955608879
3,10000,80,128,2,0.85,,0,0,0,0,0.375989927,0.579156488,0,0,0,0,0.205882353,0.573529412,0.464705882,0.367647059,0.955146415
3,10000,20,64,1,0.85,,0,0,0,0,0.389245235,0.565703069,0,0,0,0,0.191176471,0.558823529,0.464705882,0.367647059,0.954948304
7,10000,50,128,3,0.85,,0,0,0,0,0.395210742,0.558858851,0,0,0,0,0.059701493,0.492537313,0.462686567,0.432835821,0.954069593
7,10000,50,256,1,0.85,,0,0,0,0,0.405209436,0.547872928,0,0,0,0,0.089552239,0.492537313,0.456716418,0.402985075,0.953082363
3,10000,50,64,2,0.85,,0,0,0,0,0.392947227,0.492043381,0.066666667,0,0,0,0.205882353,0.573529412,0.447058824,0.367647059,0.951657275
7,10000,20,64,2,0.85,,0,0,0,0.05,0.325941486,0.574724558,0,0,0,0,0.149253731,0.552238806,0.456716418,0.402985075,0.950666044
14,10000,20,256,2,0.85,,0,0,0,0.044444444,0.314035601,0.505905841,0.08,0,0,0,0.181818182,0.515151515,0.406060606,0.333333333,0.944385886
7,10000,50,16,3,0.85,,0,0,0,0.1,0.190566038,0.573195808,0,0.08,0,0,0.104477612,0.492537313,0.441791045,0.388059701,0.943761846
3,10000,80,128,1,0.85,,0,0,0,0,0.303222026,0.560231319,0.08,0,0,0,0.147058824,0.529411765,0.438235294,0.382352941,0.943453344
7,10000,5,128,1,0.85,,0,0,0,0,0.45764486,0.482690451,0,0,0,0,0.089552239,0.492537313,0.468656716,0.402985075,0.940335312
3,10000,50,128,1,0.85,,0,0,0,0,0.391269841,0.482154798,0.066666667,0,0,0,0.220588235,0.588235294,0.444117647,0.367647059,0.940091306
3,10000,50,64,1,0.85,,0,0,0,0,0.380229488,0.490675948,0.066666667,0,0,0,0.191176471,0.558823529,0.438235294,0.367647059,0.937572102
7,10000,80,32,3,0.85,,0,0,0,0.066666667,0.262317654,0.607978337,0,0,0,0,0.044776119,0.492537313,0.465671642,0.447761194,0.936962657
3,10000,5,128,3,0.85,,0,0,0,0.05,0.347045708,0.535795987,0,0,0,0,0.220588235,0.558823529,0.435294118,0.338235294,0.932841695
14,10000,20,32,2,0.85,,0,0,0,0.09,0.312480979,0.528851723,0,0,0,0,0.181818182,0.53030303,0.424242424,0.348484848,0.931332701
1,10000,80,256,1,0.85,,0,0,0.133333333,0,0.206953573,0.507909638,0.08,0,0,0,0.117647059,0.426470588,0.379411765,0.308823529,0.928196544
14,10000,20,64,1,0.85,,0,0,0,0.09,0.274680101,0.56013674,0,0,0,0,0.212121212,0.545454545,0.436363636,0.333333333,0.924816841
14,10000,50,32,2,0.85,,0,0,0,0.083333333,0.304326531,0.537024967,0,0,0,0,0.166666667,0.5,0.433333333,0.333333333,0.92468483
14,10000,80,64,3,0.85,,0,0,0,0.05,0.360501115,0.509394964,0,0,0,0,0.136363636,0.515151515,0.427272727,0.378787879,0.919896078
7,10000,5,256,1,0.85,,0,0,0,0,0.43243533,0.486119116,0,0,0,0,0.119402985,0.507462687,0.459701493,0.388059701,0.918554445
7,10000,20,32,3,0.85,,0,0,0,0.107142857,0.220779874,0.590338025,0,0,0,0,0.089552239,0.507462687,0.471641791,0.417910448,0.918260756
3,10000,20,16,1,0.85,,0,0,0,0,0.338514898,0.578789782,0,0,0,0,0.176470588,0.544117647,0.461764706,0.367647059,0.91730468
14,10000,50,32,1,0.85,,0,0,0,0,0.337941176,0.578458725,0,0,0,0,0.212121212,0.575757576,0.475757576,0.363636364,0.916399901
7,10000,50,16,2,0.85,,0,0,0,0,0.282948764,0.561338927,0,0.066666667,0,0,0.134328358,0.52238806,0.453731343,0.388059701,0.910954358
1,10000,5,256,1,0.85,,0,0,0,0.08,0.212538804,0.537283304,0.08,0,0,0,0.044117647,0.426470588,0.397058824,0.382352941,0.909822108
7,10000,5,256,2,0.85,,0,0,0,0,0.3413615,0.510636776,0.057142857,0,0,0,0.089552239,0.507462687,0.444776119,0.417910448,0.909141134
14,10000,5,128,2,0.85,,0,0,0,0,0.318288201,0.530124279,0.057142857,0,0,0,0.151515152,0.5,0.427272727,0.348484848,0.905555338
3,10000,50,64,3,0.85,,0,0,0,0,0.383593306,0.455184386,0.066666667,0,0,0,0.161764706,0.529411765,0.426470588,0.367647059,0.905444359
7,10000,50,16,1,0.85,,0,0,0,0,0.28227294,0.541774151,0,0.08,0,0,0.134328358,0.52238806,0.447761194,0.388059701,0.904047091
7,10000,5,128,2,0.85,,0,0,0,0.057142857,0.332788979,0.513258244,0,0,0,0,0.059701493,0.462686567,0.435820896,0.402985075,0.903190081
14,10000,20,16,3,0.85,,0,0,0,0.130808081,0.206236559,0.565673689,0,0,0,0,0.121212121,0.46969697,0.433333333,0.348484848,0.902718329
1,10000,20,256,2,0.85,,0,0,0,0,0.297061178,0.523980533,0.08,0,0,0,0.088235294,0.470588235,0.411764706,0.382352941,0.901041711
14,10000,50,64,2,0.85,,0,0,0,0.083333333,0.272536232,0.542168569,0,0,0,0,0.196969697,0.545454545,0.433333333,0.348484848,0.898038134
1,10000,20,256,3,0.85,,0,0,0,0,0.296947735,0.534046661,0.066666667,0,0,0,0.117647059,0.485294118,0.414705882,0.367647059,0.897661063
14,10000,80,32,1,0.85,,0,0,0,0,0.326150585,0.570985659,0,0,0,0,0.181818182,0.545454545,0.46969697,0.363636364,0.897136244
7,10000,20,32,1,0.85,,0,0,0,0.08,0.193017268,0.62407945,0,0,0,0,0.104477612,0.52238806,0.471641791,0.417910448,0.897096719
3,10000,20,16,2,0.85,,0,0,0,0,0.323332323,0.57009693,0,0,0,0,0.161764706,0.529411765,0.455882353,0.367647059,0.893429252
7,10000,5,32,3,0.85,,0,0,0,0,0.315181172,0.573814874,0,0,0,0,0.089552239,0.507462687,0.468656716,0.417910448,0.888996045
3,10000,5,256,3,0.85,,0,0,0,0,0.370033881,0.417633442,0.1,0,0,0,0.147058824,0.485294118,0.405882353,0.338235294,0.887667323
7,10000,5,32,2,0.85,,0,0,0,0,0.32204387,0.562955789,0,0,0,0,0.104477612,0.52238806,0.462686567,0.417910448,0.884999659
1,10000,5,128,2,0.85,,0,0,0,0.08,0.19331307,0.531118189,0.08,0,0,0,0.117647059,0.470588235,0.402941176,0.352941176,0.884431259
1,10000,5,64,1,0.85,,0,0,0.133333333,0,0.217723906,0.533236408,0,0,0,0,0.058823529,0.441176471,0.397058824,0.382352941,0.884293647
14,10000,80,64,2,0.85,,0,0,0,0.05,0.271084318,0.557052052,0,0,0,0,0.212121212,0.560606061,0.439393939,0.348484848,0.87813637
14,10000,20,128,2,0.85,,0,0,0,0.044444444,0.271460463,0.561303354,0,0,0,0,0.151515152,0.515151515,0.442424242,0.363636364,0.877208261
14,10000,20,64,3,0.85,,0,0,0,0.044444444,0.191428571,0.526381763,0.114285714,0,0,0,0.196969697,0.53030303,0.406060606,0.333333333,0.876540493
14,10000,80,128,1,0.85,,0,0,0,0.094444444,0.250735931,0.527197666,0,0,0,0,0.181818182,0.515151515,0.424242424,0.333333333,0.872378041
7,10000,80,16,2,0.85,,0,0,0,0.05,0.206733528,0.614098432,0,0,0,0,0.089552239,0.507462687,0.465671642,0.417910448,0.87083196
3,10000,80,64,1,0.85,,0,0,0,0,0.306606061,0.563994883,0,0,0,0,0.161764706,0.529411765,0.441176471,0.367647059,0.870600943
14,10000,5,64,2,0.85,,0,0,0,0.066666667,0.278888889,0.524052064,0,0,0,0,0.166666667,0.515151515,0.415151515,0.348484848,0.869607619
1,10000,50,256,3,0.85,,0,0,0,0,0.235461499,0.566476467,0.066666667,0,0,0,0.088235294,0.470588235,0.429411765,0.382352941,0.868604632
14,10000,50,64,3,0.85,,0,0,0,0.05,0.301750802,0.515966724,0,0,0,0,0.166666667,0.515151515,0.418181818,0.348484848,0.867717526
14,10000,50,128,1,0.85,,0,0,0,0.036363636,0.279366958,0.549976641,0,0,0,0,0.242424242,0.575757576,0.439393939,0.333333333,0.865707236
3,10000,50,32,3,0.85,,0,0,0,0,0.376599762,0.421361191,0.066666667,0,0,0,0.132352941,0.5,0.414705882,0.367647059,0.86462762
14,10000,80,256,2,0.85,,0,0,0,0.04,0.263298959,0.560784641,0,0,0,0,0.196969697,0.545454545,0.451515152,0.348484848,0.864083601
14,10000,80,64,1,0.85,,0,0,0,0,0.282586521,0.580770363,0,0,0,0,0.196969697,0.560606061,0.466666667,0.363636364,0.863356884
1,10000,5,32,1,0.85,,0,0,0.133333333,0,0.187057266,0.542463266,0,0,0,0,0.058823529,0.441176471,0.405882353,0.382352941,0.862853865
14,10000,80,128,2,0.85,,0,0,0,0.036363636,0.302537352,0.523252377,0,0,0,0,0.196969697,0.53030303,0.418181818,0.333333333,0.862153365
14,10000,20,32,3,0.85,,0,0,0,0.086363636,0.245380117,0.525981031,0,0,0,0,0.151515152,0.484848485,0.406060606,0.333333333,0.857724784
3,10000,5,32,1,0.85,,0,0,0,0,0.314313261,0.542954442,0,0,0,0,0.088235294,0.470588235,0.426470588,0.382352941,0.857267704
3,10000,80,64,3,0.85,,0,0,0,0,0.303164507,0.552459727,0,0,0,0,0.161764706,0.529411765,0.435294118,0.367647059,0.855624233
7,10000,20,16,1,0.85,,0,0,0,0,0.265434409,0.589764838,0,0,0,0,0.059701493,0.492537313,0.468656716,0.432835821,0.855199247
14,10000,20,32,1,0.85,,0,0,0,0.05,0.235052277,0.567111285,0,0,0,0,0.212121212,0.560606061,0.442424242,0.348484848,0.852163562
14,10000,50,128,2,0.85,,0,0,0,0.036363636,0.285400275,0.525914778,0,0,0,0,0.151515152,0.484848485,0.418181818,0.333333333,0.847678689
7,10000,50,32,1,0.85,,0,0,0,0,0.293506104,0.552175393,0,0,0,0,0.104477612,0.492537313,0.43880597,0.388059701,0.845681497
3,10000,80,64,2,0.85,,0,0,0,0,0.283122891,0.562005707,0,0,0,0,0.147058824,0.514705882,0.435294118,0.367647059,0.845128598
