lag,epochs,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,total_f1
14,10000,80,256,2,0.85,,0,0,0,0.19047619,0.43000398,0.534086691,0,0.133333333,0,0,0.212121212,0.590909091,0.466666667,0.378787879,1.287900194
14,10000,80,128,3,0.85,,0,0,0,0.177777778,0.403076043,0.506728027,0,0.2,0,0,0.166666667,0.5,0.436363636,0.333333333,1.287581848
14,10000,80,64,3,0.85,,0,0,0,0.25,0.469963917,0.544565657,0,0,0,0,0.151515152,0.545454545,0.478787879,0.393939394,1.264529574
7,10000,50,256,2,0.85,,0,0,0.133333333,0.133333333,0.408943365,0.526412756,0,0,0,0,0.179104478,0.567164179,0.444776119,0.388059701,1.202022788
7,10000,20,64,3,0.85,,0,0,0,0.2,0.460276342,0.520377,0,0,0,0,0.149253731,0.537313433,0.462686567,0.388059701,1.180653342
14,10000,80,64,2,0.85,,0,0,0,0.183333333,0.475045076,0.513134169,0,0,0,0,0.166666667,0.545454545,0.463636364,0.378787879,1.171512578
14,10000,20,32,2,0.85,,0,0,0,0.173333333,0.361410092,0.546880878,0.08,0,0,0,0.136363636,0.515151515,0.451515152,0.378787879,1.161624304
14,10000,5,16,2,0.85,,0,0,0,0.2,0.400655033,0.555615207,0,0,0,0,0.075757576,0.5,0.46969697,0.424242424,1.15627024
14,10000,80,32,3,0.85,,0,0,0,0.16969697,0.457919019,0.52164355,0,0,0,0,0.151515152,0.53030303,0.457575758,0.378787879,1.149259538
14,10000,50,128,3,0.85,,0,0,0,0.066666667,0.448531368,0.495225282,0,0.133333333,0,0,0.166666667,0.515151515,0.442424242,0.348484848,1.14375665
14,10000,50,32,2,0.85,,0,0,0,0.233333333,0.366468051,0.542691949,0,0,0,0,0.136363636,0.515151515,0.448484848,0.378787879,1.142493333
14,10000,80,128,1,0.85,,0,0,0,0.183333333,0.408545737,0.535829222,0,0,0,0,0.196969697,0.560606061,0.460606061,0.363636364,1.127708292
14,10000,50,32,1,0.85,,0,0,0,0.177777778,0.391600543,0.555572848,0,0,0,0,0.136363636,0.53030303,0.454545455,0.393939394,1.124951169
14,10000,50,128,2,0.85,,0,0,0,0.133333333,0.461812097,0.510001257,0,0,0,0,0.151515152,0.545454545,0.463636364,0.393939394,1.105146687
14,10000,20,256,1,0.85,,0,0,0,0.2,0.396426406,0.507932761,0,0,0,0,0.136363636,0.484848485,0.442424242,0.348484848,1.104359168
14,10000,50,256,3,0.85,,0,0,0,0.2,0.366108035,0.536839907,0,0,0,0,0.136363636,0.5,0.442424242,0.363636364,1.102947942
14,10000,80,16,1,0.85,,0,0,0,0.2,0.337880744,0.554338978,0,0,0,0,0.106060606,0.484848485,0.448484848,0.378787879,1.092219722
14,10000,80,32,2,0.85,,0,0,0,0.217777778,0.350835652,0.521354051,0,0,0,0,0.106060606,0.5,0.433333333,0.393939394,1.089967481
7,10000,50,256,3,0.85,,0,0,0.133333333,0,0.430936474,0.503313094,0,0,0,0,0.179104478,0.537313433,0.43880597,0.358208955,1.067582901
14,10000,80,64,1,0.85,,0,0,0,0.2,0.326319184,0.540002449,0,0,0,0,0.121212121,0.5,0.439393939,0.378787879,1.066321633
14,10000,50,16,1,0.85,,0,0,0,0.1,0.383933498,0.575604019,0,0,0,0,0.075757576,0.5,0.472727273,0.424242424,1.059537517
14,10000,50,64,2,0.85,,0,0,0,0.057142857,0.390164744,0.504526781,0.1,0,0,0,0.227272727,0.590909091,0.439393939,0.363636364,1.051834382
14,10000,50,32,3,0.85,,0,0,0,0.133333333,0.401328973,0.51116968,0,0,0,0,0.166666667,0.545454545,0.433333333,0.378787879,1.045831986
