lag,epochs,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,total_f1
7,10000,80,64,2,0.85,,0,0,0,0.1,0.397040128,0.550510306,0,0.1,0,0,0.058823529,0.485294118,0.452941176,0.426470588,1.147550433
7,10000,50,128,3,0.85,,0,0,0,0.116666667,0.395576918,0.515498214,0,0.1,0,0,0.102941176,0.485294118,0.441176471,0.382352941,1.127741798
7,10000,20,32,2,0.85,,0,0,0,0.116666667,0.379048234,0.538007504,0,0.066666667,0,0,0.058823529,0.470588235,0.441176471,0.411764706,1.100389072
7,10000,20,64,2,0.85,,0,0,0,0.05,0.410219916,0.522205476,0,0.114285714,0,0,0.088235294,0.485294118,0.447058824,0.397058824,1.096711106
7,10000,20,128,3,0.85,,0,0,0,0.066666667,0.355756315,0.502479787,0.05,0.114285714,0,0,0.044117647,0.441176471,0.417647059,0.397058824,1.089188483
14,10000,50,256,2,0.85,,0,0,0,0.057142857,0.409071014,0.542868998,0.066666667,0,0,0,0.223880597,0.537313433,0.456716418,0.313432836,1.075749536
7,10000,80,64,3,0.85,,0,0,0,0.116666667,0.396470014,0.544131699,0,0,0,0,0.102941176,0.5,0.444117647,0.397058824,1.057268379
7,10000,50,128,1,0.85,,0,0,0,0.057142857,0.397702401,0.492861711,0,0.1,0,0,0.132352941,0.485294118,0.423529412,0.352941176,1.04770697
7,10000,80,256,1,0.85,,0,0,0,0.1,0.437494382,0.509050059,0,0,0,0,0.088235294,0.485294118,0.438235294,0.397058824,1.046544441
7,10000,50,256,1,0.85,,0,0,0,0,0.436633534,0.508173042,0,0.1,0,0,0.117647059,0.485294118,0.444117647,0.367647059,1.044806576
7,10000,80,256,3,0.85,,0,0,0,0.173809524,0.365594904,0.505002194,0,0,0,0,0.044117647,0.426470588,0.411764706,0.382352941,1.044406622
7,10000,50,64,2,0.85,,0,0,0,0,0.43265116,0.49605389,0,0.114285714,0,0,0.102941176,0.470588235,0.438235294,0.367647059,1.042990764
7,10000,50,128,2,0.85,,0,0,0,0,0.436267559,0.490648019,0,0.114285714,0,0,0.117647059,0.485294118,0.435294118,0.367647059,1.041201291
7,10000,5,16,2,0.85,,0,0,0,0.18,0.306352325,0.543754989,0,0,0,0,0.161764706,0.544117647,0.435294118,0.382352941,1.030107314
3,10000,5,128,3,0.85,,0,0,0.133333333,0.057142857,0.358808984,0.479487768,0,0,0,0,0.102941176,0.470588235,0.420588235,0.367647059,1.028772942
7,10000,50,256,2,0.85,,0,0,0,0.066666667,0.446672375,0.460132454,0.05,0,0,0,0.088235294,0.470588235,0.426470588,0.382352941,1.023471496
7,10000,50,64,3,0.85,,0,0,0,0.05,0.358946183,0.522746097,0,0.088888889,0,0,0.117647059,0.5,0.435294118,0.382352941,1.020581169
7,10000,20,128,1,0.85,,0,0,0,0.066666667,0.367461473,0.519255546,0,0.066666667,0,0,0.132352941,0.470588235,0.429411765,0.338235294,1.020050352
3,10000,50,256,2,0.85,,0,0,0,0.123809524,0.406065537,0.486717818,0,0,0,0,0.147058824,0.5,0.417647059,0.352941176,1.016592879
7,10000,80,32,2,0.85,,0,0,0,0.137142857,0.344460748,0.53288898,0,0,0,0,0.102941176,0.485294118,0.426470588,0.382352941,1.014492585
7,10000,5,16,1,0.85,,0,0,0,0.08,0.376680851,0.5508509,0,0,0,0,0.029411765,0.455882353,0.447058824,0.426470588,1.007531751
14,10000,20,64,1,0.85,,0,0,0,0.066666667,0.445847269,0.491158508,0,0,0,0,0.134328358,0.492537313,0.441791045,0.358208955,1.003672443
14,10000,50,128,3,0.85,,0,0,0.133333333,0.088888889,0.251229577,0.530189608,0,0,0,0,0.253731343,0.52238806,0.411940299,0.268656716,1.003641407
14,10000,20,32,2,0.85,,0,0,0,0.116666667,0.394559675,0.487786288,0,0,0,0,0.208955224,0.507462687,0.417910448,0.298507463,0.99901263
7,10000,80,128,3,0.85,,0,0,0,0.116666667,0.344776207,0.531891479,0,0,0,0,0.073529412,0.470588235,0.432352941,0.397058824,0.993334353
7,10000,20,64,1,0.85,,0,0,0,0,0.395083355,0.530733922,0,0.066666667,0,0,0.117647059,0.5,0.441176471,0.382352941,0.992483944
7,10000,80,256,2,0.85,,0,0,0,0.111111111,0.398186988,0.483070418,0,0,0,0,0.073529412,0.455882353,0.411764706,0.382352941,0.992368516
7,10000,50,32,2,0.85,,0,0,0,0,0.408017475,0.492562559,0,0.088888889,0,0,0.102941176,0.485294118,0.423529412,0.382352941,0.989468923
14,10000,50,256,1,0.85,,0,0,0,0.116666667,0.410639454,0.461321871,0,0,0,0,0.164179104,0.492537313,0.408955224,0.328358209,0.988627992
7,10000,20,256,1,0.85,,0,0,0,0.066666667,0.386792916,0.454587921,0,0.08,0,0,0.102941176,0.455882353,0.420588235,0.352941176,0.988047504
7,10000,50,64,1,0.85,,0,0,0,0,0.363105555,0.510402795,0,0.114285714,0,0,0.117647059,0.485294118,0.423529412,0.367647059,0.987794065
14,10000,20,128,2,0.85,,0,0,0,0.044444444,0.399777856,0.485561835,0.057142857,0,0,0,0.194029851,0.507462687,0.420895522,0.313432836,0.986926992
7,10000,50,16,1,0.85,,0,0,0,0,0.375988565,0.502790444,0,0.1,0,0,0.102941176,0.5,0.426470588,0.397058824,0.978779009
14,10000,80,128,1,0.85,,0,0,0,0.066666667,0.392519628,0.518749548,0,0,0,0,0.194029851,0.507462687,0.43880597,0.313432836,0.977935843
7,10000,20,256,3,0.85,,0,0,0,0.107142857,0.362034713,0.508712405,0,0,0,0,0.117647059,0.470588235,0.423529412,0.352941176,0.977889976
7,10000,50,32,3,0.85,,0,0,0,0,0.372384762,0.508583792,0,0.088888889,0,0,0.117647059,0.5,0.420588235,0.382352941,0.969857443
7,10000,80,128,2,0.85,,0,0,0,0.123809524,0.295407743,0.550626896,0,0,0,0,0.073529412,0.470588235,0.423529412,0.397058824,0.969844163
1,10000,20,256,3,0.85,,0,0,0,0.044444444,0.338877585,0.581896831,0,0,0,0,0.101449275,0.52173913,0.466666667,0.420289855,0.96521886
14,10000,50,64,2,0.85,,0,0,0,0.123809524,0.347404772,0.488241453,0,0,0,0,0.179104478,0.47761194,0.402985075,0.298507463,0.959455749
3,10000,80,256,2,0.85,,0,0,0,0.123809524,0.302044979,0.52913326,0,0,0,0,0.058823529,0.455882353,0.420588235,0.397058824,0.954987764
3,10000,20,256,1,0.85,,0,0,0,0.08,0.252502664,0.561084612,0.057142857,0,0,0,0.058823529,0.470588235,0.435294118,0.411764706,0.950730134
14,10000,20,256,3,0.85,,0,0,0,0,0.467635381,0.481749319,0,0,0,0,0.119402985,0.507462687,0.43880597,0.388059701,0.9493847
7,10000,20,32,1,0.85,,0,0,0,0.057142857,0.270476005,0.539786745,0,0.08,0,0,0.058823529,0.455882353,0.423529412,0.397058824,0.947405607
14,10000,80,128,3,0.85,,0,0,0,0,0.396226721,0.483143977,0.066666667,0,0,0,0.179104478,0.47761194,0.405970149,0.298507463,0.946037365
7,10000,5,128,3,0.85,,0,0,0,0.08,0.381369767,0.480789078,0,0,0,0,0.073529412,0.455882353,0.420588235,0.382352941,0.942158845
7,10000,20,32,3,0.85,,0,0,0,0.066666667,0.364253835,0.506714678,0,0,0,0,0.117647059,0.470588235,0.417647059,0.352941176,0.93763518
3,10000,5,128,1,0.85,,0,0,0,0,0.377329775,0.502484617,0.057142857,0,0,0,0.117647059,0.5,0.429411765,0.382352941,0.93695725
14,10000,50,64,1,0.85,,0,0,0,0.066666667,0.341792577,0.527292976,0,0,0,0,0.194029851,0.492537313,0.426865672,0.298507463,0.935752219
14,10000,20,256,2,0.85,,0,0,0,0,0.346767883,0.449913502,0,0.133333333,0,0,0.149253731,0.447761194,0.388059701,0.298507463,0.930014719
7,10000,5,256,1,0.85,,0,0,0,0.08,0.378593247,0.469735634,0,0,0,0,0.147058824,0.470588235,0.414705882,0.323529412,0.928328881
3,10000,5,64,1,0.85,,0,0,0,0,0.324675425,0.535173654,0.066666667,0,0,0,0.088235294,0.470588235,0.426470588,0.382352941,0.926515745
7,10000,80,16,1,0.85,,0,0,0,0,0.382518341,0.543298244,0,0,0,0,0.058823529,0.485294118,0.444117647,0.426470588,0.925816585
14,10000,80,128,2,0.85,,0,0,0,0,0.389014232,0.536631109,0,0,0,0,0.194029851,0.507462687,0.447761194,0.313432836,0.925645341
3,10000,50,128,3,0.85,,0,0,0,0.123809524,0.290409511,0.511108487,0,0,0,0,0.102941176,0.441176471,0.402941176,0.338235294,0.925327522
14,10000,50,32,3,0.85,,0,0,0,0.057142857,0.402757649,0.465033262,0,0,0,0,0.194029851,0.47761194,0.4,0.28358209,0.924933769
7,10000,80,128,1,0.85,,0,0,0,0,0.389017817,0.531272206,0,0,0,0,0.102941176,0.5,0.441176471,0.397058824,0.920290023
7,10000,50,32,1,0.85,,0,0,0,0,0.329306458,0.532532654,0,0.057142857,0,0,0.117647059,0.5,0.444117647,0.382352941,0.91898197
3,10000,50,256,3,0.85,,0,0,0,0.107142857,0.330234304,0.478981194,0,0,0,0,0.102941176,0.455882353,0.394117647,0.352941176,0.916358355
1,10000,20,256,1,0.85,,0,0,0,0.044444444,0.283956593,0.586071627,0,0,0,0,0.130434783,0.536231884,0.457971014,0.405797101,0.914472665
1,10000,20,256,2,0.85,,0,0,0,0.05,0.282961538,0.581408502,0,0,0,0,0.086956522,0.492753623,0.452173913,0.405797101,0.914370041
1,10000,5,32,1,0.85,,0,0,0,0.04,0.262805992,0.611519428,0,0,0,0,0.115942029,0.536231884,0.475362319,0.420289855,0.91432542
7,10000,5,32,1,0.85,,0,0,0,0.057142857,0.347499055,0.50507405,0,0,0,0,0.102941176,0.455882353,0.408823529,0.352941176,0.909715962
1,10000,5,256,1,0.85,,0,0,0,0.04,0.283583293,0.58528331,0,0,0,0,0.086956522,0.507246377,0.455072464,0.420289855,0.908866603
7,10000,20,16,1,0.85,,0,0,0,0,0.363161558,0.54337531,0,0,0,0,0.058823529,0.470588235,0.441176471,0.411764706,0.906536868
3,10000,20,256,2,0.85,,0,0,0,0,0.219856675,0.553258689,0,0.133333333,0,0,0.058823529,0.455882353,0.417647059,0.397058824,0.906448697
7,10000,5,64,2,0.85,,0,0,0,0.066666667,0.385193278,0.454382226,0,0,0,0,0.132352941,0.485294118,0.423529412,0.352941176,0.906242171
14,10000,5,64,3,0.85,,0,0,0,0.044444444,0.337212121,0.519826552,0,0,0,0,0.208955224,0.537313433,0.423880597,0.328358209,0.901483117
7,10000,5,128,1,0.85,,0,0,0,0,0.403303366,0.495372729,0,0,0,0,0.102941176,0.470588235,0.429411765,0.367647059,0.898676095
7,10000,80,64,1,0.85,,0,0,0,0,0.347300435,0.549487491,0,0,0,0,0.147058824,0.5,0.435294118,0.352941176,0.896787926
1,10000,5,64,1,0.85,,0,0,0,0.036363636,0.274735242,0.585064026,0,0,0,0,0.101449275,0.507246377,0.455072464,0.405797101,0.896162904
14,10000,20,128,3,0.85,,0,0,0,0.061538462,0.30962131,0.524564666,0,0,0,0,0.179104478,0.47761194,0.414925373,0.298507463,0.895724437
3,10000,20,128,3,0.85,,0,0,0,0.08,0.283472562,0.531872191,0,0,0,0,0.073529412,0.470588235,0.420588235,0.397058824,0.895344753
7,10000,5,64,1,0.85,,0,0,0,0,0.39733938,0.497538161,0,0,0,0,0.161764706,0.485294118,0.417647059,0.323529412,0.894877541
3,10000,5,128,2,0.85,,0,0,0,0,0.362129539,0.531362016,0,0,0,0,0.102941176,0.514705882,0.444117647,0.411764706,0.893491556
1,10000,80,256,2,0.85,,0,0,0,0.044444444,0.255045259,0.593226662,0,0,0,0,0.130434783,0.536231884,0.457971014,0.405797101,0.892716365
14,10000,50,256,3,0.85,,0,0,0,0.057142857,0.2864841,0.481202949,0.066666667,0,0,0,0.208955224,0.492537313,0.391044776,0.28358209,0.891496573
14,10000,20,64,2,0.85,,0,0,0,0.044444444,0.392488725,0.454134043,0,0,0,0,0.164179104,0.47761194,0.394029851,0.313432836,0.891067213
14,10000,20,16,2,0.85,,0,0,0,0.066666667,0.299285422,0.524251859,0,0,0,0,0.208955224,0.507462687,0.420895522,0.298507463,0.890203948
14,10000,50,16,1,0.85,,0,0,0,0,0.364080705,0.525628835,0,0,0,0,0.194029851,0.507462687,0.432835821,0.313432836,0.88970954
7,10000,5,32,3,0.85,,0,0,0,0.057142857,0.374120091,0.456687604,0,0,0,0,0.117647059,0.470588235,0.394117647,0.352941176,0.887950552
3,10000,5,256,3,0.85,,0,0,0.1,0,0.332358852,0.455388385,0,0,0,0,0.058823529,0.441176471,0.405882353,0.382352941,0.887747237
14,10000,50,64,3,0.85,,0,0,0,0.066666667,0.306442074,0.512861087,0,0,0,0,0.119402985,0.462686567,0.423880597,0.343283582,0.885969827
1,10000,20,128,1,0.85,,0,0,0,0.036363636,0.237649603,0.61194937,0,0,0,0,0.144927536,0.550724638,0.472463768,0.405797101,0.885962609
3,10000,50,256,1,0.85,,0,0,0,0,0.377574155,0.505037077,0,0,0,0,0.132352941,0.485294118,0.414705882,0.352941176,0.882611231
3,10000,50,128,2,0.85,,0,0,0,0,0.356716808,0.525566672,0,0,0,0,0.102941176,0.470588235,0.426470588,0.367647059,0.88228348
14,10000,80,32,3,0.85,,0,0,0,0.066666667,0.331213505,0.484158761,0,0,0,0,0.194029851,0.47761194,0.391044776,0.28358209,0.882038933
14,10000,20,32,1,0.85,,0,0,0,0.066666667,0.326171866,0.488685945,0,0,0,0,0.164179104,0.47761194,0.411940299,0.313432836,0.881524477
3,10000,50,32,2,0.85,,0,0,0,0.08,0.291199634,0.509626816,0,0,0,0,0.102941176,0.455882353,0.414705882,0.352941176,0.880826451
14,10000,20,256,1,0.85,,0,0,0,0.05,0.239123817,0.524970678,0.066666667,0,0,0,0.253731343,0.537313433,0.411940299,0.28358209,0.880761162
1,10000,20,64,1,0.85,,0,0,0,0.044444444,0.23493806,0.601255044,0,0,0,0,0.115942029,0.536231884,0.466666667,0.420289855,0.880637548
1,10000,5,128,2,0.85,,0,0,0,0.044444444,0.238884532,0.596784216,0,0,0,0,0.072463768,0.492753623,0.463768116,0.420289855,0.880113192
3,10000,5,256,1,0.85,,0,0,0,0,0.391317555,0.487517188,0,0,0,0,0.117647059,0.514705882,0.435294118,0.397058824,0.878834743
1,10000,5,128,1,0.85,,0,0,0,0.036363636,0.244964349,0.595162084,0,0,0,0,0.086956522,0.507246377,0.455072464,0.420289855,0.87649007
