DateTime,Close,Volume_(BTC),Weighted_Price,neg_pol,neu_pol,pos_pol,compound,dt,Tweet_vol
2018-10-16 00:00:00+00:00,6457.69,3.60910667302583,6438.9579135825825,0.027295180722891565,0.8435542168674699,0.12915662650602408,0.2721319277108434,2018-10-16 12:11:05.402213888+00:00,889.0
2018-10-17 00:00:00+00:00,6438.59,2.3338183103158707,6437.560041368567,0.05038378378378378,0.8347243243243243,0.11487567567567569,0.20205405405405402,2018-10-17 11:47:12.573189632+00:00,939.0
2018-10-18 00:00:00+00:00,6401.59,3.078736508226445,6424.211741448615,0.04199295774647887,0.8447323943661972,0.11326760563380281,0.21673732394366202,2018-10-18 12:32:57.149643776+00:00,801.0
2018-10-19 00:00:00+00:00,6366.77,1.9649025536636138,6384.064473763115,0.02708974358974359,0.8498205128205129,0.12309615384615384,0.28372307692307697,2018-10-19 12:10:40.766028288+00:00,824.0
2018-10-20 00:00:00+00:00,6423.35,1.2948166044188378,6398.996003628757,0.055722772277227724,0.8284455445544555,0.11583168316831682,0.18285940594059408,2018-10-20 12:08:39.498998016+00:00,629.0
2018-10-21 00:00:00+00:00,6406.94,1.552600708794063,6433.291516076624,0.037008547008547006,0.8366581196581196,0.12633333333333333,0.28041282051282046,2018-10-21 12:20:43.135436032+00:00,652.0
2018-10-22 00:00:00+00:00,6410.93,1.8730474788321734,6405.017846581671,0.027699386503067486,0.8467177914110429,0.1255766871165644,0.3477257668711657,2018-10-22 12:13:43.897911552+00:00,769.0
2018-10-23 00:00:00+00:00,6402.0,2.3163248253791466,6394.813240070537,0.030886075949367094,0.823860759493671,0.14524683544303799,0.301453164556962,2018-10-23 12:15:40.142180096+00:00,856.0
2018-10-24 00:00:00+00:00,6422.16,2.780786555433437,6425.941381084365,0.039516778523489934,0.8457181208053691,0.11475838926174496,0.25411409395973156,2018-10-24 11:48:32.832817408+00:00,834.0
2018-10-25 00:00:00+00:00,6397.82,2.513521495571205,6400.094742599295,0.042324503311258276,0.8500529801324503,0.10763576158940398,0.19233443708609269,2018-10-25 12:00:27.183098624+00:00,903.0
2018-10-26 00:00:00+00:00,6407.87,2.923457819562891,6401.358234994291,0.02847014925373134,0.8481119402985074,0.12342537313432837,0.274520895522388,2018-10-26 12:09:27.992863744+00:00,845.0
2018-10-27 00:00:00+00:00,6403.6,0.8897063055014605,6406.113380753165,0.033384,0.84524,0.12137599999999998,0.2218024,2018-10-27 12:44:15.598831616+00:00,719.0
2018-10-28 00:00:00+00:00,6404.77,0.9044699464186509,6402.1027321522815,0.03601075268817204,0.8371397849462365,0.12684946236559141,0.25369354838709673,2018-10-28 12:48:34.047619072+00:00,515.0
2018-10-29 00:00:00+00:00,6253.03,4.307147327227878,6315.013744329522,0.04276056338028169,0.8301971830985916,0.12706338028169015,0.22537183098591548,2018-10-29 12:07:30.587314176+00:00,815.0
2018-10-30 00:00:00+00:00,6260.0,2.0715074920594967,6264.670220927308,0.027891719745222927,0.8370382165605097,0.13505095541401277,0.29211528662420383,2018-10-30 12:15:43.295194624+00:00,905.0
2018-10-31 00:00:00+00:00,6304.51,4.162988349409056,6280.207583478588,0.04060576923076924,0.8206538461538462,0.13872115384615386,0.2668125,2018-10-31 12:05:22.287030016+00:00,992.0
2018-11-01 00:00:00+00:00,6362.86,2.109774088743719,6316.592143193719,0.047125748502994017,0.8347245508982036,0.11814371257485028,0.2028826347305389,2018-11-01 12:49:26.080402176+00:00,904.0
2018-11-02 00:00:00+00:00,6348.03,1.9599158474123537,6350.448600351753,0.056888157894736835,0.8433223684210527,0.09979605263157895,0.11067828947368419,2018-11-02 12:05:02.153589248+00:00,861.0
2018-11-03 00:00:00+00:00,6326.17,1.251172733440171,6331.5026520752135,0.049828282828282826,0.8409191919191918,0.10924242424242424,0.15454747474747474,2018-11-03 12:33:47.692307712+00:00,659.0
2018-11-04 00:00:00+00:00,6420.86,2.5396280657885306,6377.86548842715,0.03957723577235773,0.8490813008130083,0.11134146341463415,0.15017886178861786,2018-11-04 12:41:48.924731392+00:00,796.0
2018-11-05 00:00:00+00:00,6406.5,1.8235765204091268,6402.328986066956,0.03493939393939394,0.839460606060606,0.1256060606060606,0.25765757575757575,2018-11-05 12:19:21.856805888+00:00,885.0
2018-11-06 00:00:00+00:00,6519.99,3.9709901181844383,6421.069174908214,0.04076616915422885,0.8375721393034825,0.12167661691542289,0.22266169154228854,2018-11-06 12:09:39.899135232+00:00,982.0
2018-11-07 00:00:00+00:00,6490.62,2.8893072419398496,6506.942974690976,0.0360531914893617,0.8442074468085107,0.11974468085106384,0.23154574468085107,2018-11-07 11:49:31.353383680+00:00,996.0
